osm_type,osmid,lon,lat,name,wheelchair,amenity,tourism,dist_m,dist_band
node,13122977506,18.1232387,58.8802557,,,,information,7.15283715828216,≤50m
node,12748135109,18.1313502,58.871684,,,toilets,,28.36183776698423,≤50m
node,12837581021,18.1325777,58.8773989,SAT Nåttarö,,,information,125.09941008777778,≤200m
node,12849416944,18.1324348,58.8775512,,,toilets,,153.03117512708602,≤200m
node,12864253645,18.1325883,58.8774189,Välkommen till Skärgårdsstiftelsen Nåttarö,,,information,125.4684369988428,≤200m
node,4900324558,18.1308054,58.8842121,,,,information,5.3383269337424455,≤50m
node,4879006116,18.1362078,58.8862176,,,drinking_water,,0.20638133433727454,≤50m
node,12838471017,18.1370254,58.8870829,SAT Nåttarö,,,information,7.461925093893117,≤50m
node,12722707517,18.1652587,58.9164502,,,drinking_water,,61.97805574925359,≤100m
node,12759101764,18.1679324,58.9199902,SAT Rånö,,,information,18.640597506665383,≤50m
node,3053395678,18.1763804,58.9197616,Rånö Källan Pub & Café,,restaurant,,44.737917823651216,≤50m
