label,lat,lon,color,symbol
"south beach, Sandhamn",59.276806,18.9125,#5DA6C2,swimming
Hästholmsviken beach,58.938761344,18.210108989,#5DA6C2,swimming
BBQ area Ålö Storsand 3,58.90926,18.22216,#D2691E,bbq
SAT Rånö,58.9279,18.17821,#32CD32,shoe
SAT Landsort,58.739875,17.866875,#32CD32,shoe
Grill area Storsand,58.877793,18.135939,#D2691E,bbq
SAT Finnhamn,59.47858,18.81919,#32CD32,shoe
Finnhamn bathing area,59.4818286,18.8219776,#5DA6C2,swimming
The Shoemaker’s Cottage,59.658056688,18.911554833,#708090,building
bbq Talludden,59.474002,18.812184,#D2691E,bbq
Telegraph Hill,59.078534,18.392811,#8B5A2B,mountain
Astrid Lindgren’s summer house Stenhällan,59.657947709,18.914401626,#708090,building
SAT Yxlan,59.58747,18.80196,#32CD32,shoe
Utö inn,58.967309,18.329475,#C1853B,restaurant
Knicksand simple barbecue area,58.917568,18.165775,#D2691E,bbq
SAT Ornö,59.07209,18.42193,#32CD32,shoe
"barbecue area, Ornö museum",59.050773,18.4305319,#D2691E,bbq
"Västanvik barbecue area, Ornö",59.059787,18.419786,#D2691E,bbq
Barbecue area Storsand Ålö,58.909186,18.218236,#D2691E,bbq
SAT Ålö,58.91619,18.21198,#32CD32,shoe
Finnhamns Inn,59.482558,18.824934,#C1853B,restaurant
Grinda tent site,59.417164,18.557367,#228B22,campsite
Femsundviken's bathing area,59.470417,18.770808,#5DA6C2,swimming
Utö gula villan,58.954399,18.283405,#8B4513,lodging
Finnhamns Inn,59.482558,18.824934,#E3A69B,cafe
Båtshaket,58.919339,18.192144,#C1853B,restaurant
Lighthouse Historical Exhibition,58.739594,17.86567,#8B4513,museum
Vänsviken,58.868225,18.124339,#5DA6C2,swimming
Fjärdlång tent site,59.037833,18.515919,#228B22,campsite
Furusund Museum Pavilion,59.660983,18.916223,#708090,attraction
Nåttarö bathing place,58.883342,18.115042,#5DA6C2,swimming
bathing area north Grinda,59.419442,18.555301,#5DA6C2,swimming
Sandhamn's sailing hotel,59.287929,18.918637,#8B4513,lodging
Idholmens bathing water,59.483007,18.80778,#5DA6C2,swimming
Nåttarö tent site,58.878208,18.110399,#228B22,campsite
Lidö tent site,59.779083,19.091919,#228B22,campsite
Svartsö Inn,59.439179,18.661314,#C1853B,restaurant
Östermarkiosken,58.886642,18.136489,#C1853B,ice-cream
Svartsö Archipelago Hotel and Hostel,59.457522,18.677283,#8B4513,lodging
tent site Själudden,59.196767,18.737779,#228B22,campsite
Kvarnviken's bathing beach,58.880900265,18.110128972,#5DA6C2,swimming
"Saltboden, Landsort",58.744271,17.865339,#DAA520,grocery
Arholma grocery,59.851166,19.108069,#DAA520,grocery
Myrudden's bathing area,59.664687,18.911037,#5DA6C2,swimming
"Skarsand, Nåttarö",58.884256111,18.137863888,#5DA6C2,swimming
Hamnvikens badplats,59.609646,18.828615,#5DA6C2,swimming
Nåttarö Nature Reserve,58.873033344,18.118719831,#228B22,park
"Thielska villa, Fjärdlång",59.036498,18.517382,#708090,building
Lidö outdoorgym,59.772086,19.080021,#FF8C00,fitness-centre
Restaurant Svängen,59.275880049,18.742991181,#C1853B,restaurant
Låttas bakery,59.275181,18.743017,#C4AD00,bakery
Furusund bathing site,59.661639,18.902181,#5DA6C2,swimming
"Saltboden, Landsort",58.744271,17.865339,#C1853B,restaurant
Utö bykrog,58.954661,18.282822,#C1853B,restaurant
Finnhamn north tent site,59.477636,18.818277,#228B22,campsite
Ingmarsö tavern,59.465565029,18.751336369,#C1853B,restaurant
Ålö Storsand drinking water,58.909812,18.219103,#1E90FF,drinking-water
Ornö Brödbod Deli,59.052284,18.433279,#C4AD00,bakery
Rånö Brygga,58.919776,18.176366,#C1853B,restaurant
Rånö Brygga,58.919776,18.176366,#5C4033,beer
Hamnviken outdoorgym,59.608047,18.834031,#FF8C00,fitness-centre
Grocery Finnhamn,59.482819,18.824389,#DAA520,grocery
Nåttarö grocery,58.879549,18.11209,#DAA520,grocery
Rånöhamn drinking water,58.934978,18.181781,#1E90FF,drinking-water
Ragnar's kiosk,59.479411,18.812757,#5DA6C2,swimming
Utö tent site,58.967156,18.317932,#228B22,campsite
Dannekrogen,58.969188,18.322626,#C1853B,restaurant
"Duvkällan, Furusund",59.665792,18.921431,#708090,building
Svartsö bathing place,59.438718,18.654737,#5DA6C2,swimming
Café Norrhamn,58.768578,17.857143,#E3A69B,cafe
Österhamn guesthouse,59.846147121,19.119137899,#8B4513,lodging
Nämdö tent site,59.200369,18.704308,#228B22,campsite
Rånö tent site,58.927366,18.190809,#228B22,campsite
Grinda camping drinking water,59.416661,18.559622,#1E90FF,drinking-water
Öja camp site,58.767283,17.860757,#228B22,campsite
Lidö windmill,59.770404,19.079945,#D2691E,windmill
Sandhamn's sailing hotel,59.287929,18.918637,#C1853B,restaurant
Arholma tent site,59.8534199,19.1127134,#228B22,campsite
Svedtilja's Pilot Tower,58.74334,17.86709,#8B4513,lodging
"Handlaren, Nämdö",59.1852269,18.7004888,#DAA520,grocery
"Vänsviken, Nåttarö BBQ",58.86828,18.12492,#D2691E,bbq
"Handlaren, Nämdö",59.1852269,18.7004888,#8B0000,alcohol-shop
Boda ferry stop,59.369986,18.605078,#000080,ferry
Yxlö ferry stop,59.632183,18.863863,#000080,ferry
Storsand Nåttarö barbecue site,58.876646,18.133193,#D2691E,bbq
Landsort chapel,58.74480556,17.86627778,#654321,religious-christian
Skarsand 1 barbecue area,58.8841,18.136836,#D2691E,bbq
Nynäshamn ferry stop,58.901031,17.952956,#000080,ferry
Nåttarö snorkeling trail,58.881395393,18.111376871,#87CEEB,swimming
Ornö gas station,59.051773,18.432768,#8B0000,alcohol-shop
Söderboudd ferry stop,59.455473,18.739831,#000080,ferry
Ornö kyrka ferry stop,59.052111,18.433251,#000080,ferry
Furusund jetty,59.658051,18.91662,#000080,ferry
Runmarö Chapel,59.27958333,18.75835,#654321,religious-christian
Fjärdlång brygga,59.035537,18.51051,#000080,ferry
Storsand bbq 1,58.876015,18.133114,#D2691E,bbq
Möja Church,59.40525,18.8815,#654321,religious-christian
Alsvik ferry stop,59.43794629,18.657112251,#000080,ferry
Köpmanholm brygga,59.659469,18.932772,#000080,ferry
Skarsand SAT barbecue area,58.884203,18.136511,#D2691E,bbq
Södra Grinda ferry stop,59.407444,18.553158,#000080,ferry
Rånö ferry stop,58.919299,18.178029,#000080,ferry
Ornöboda ferry stop,59.111836401,18.483824673,#000080,ferry
Gatan ferry stop,59.294460591,18.756457662,#000080,ferry
Coop Ingmarsö,59.46616,18.751834,#8B0000,alcohol-shop
Skälvik ferry stop,59.443925,18.680697,#000080,ferry
Runmarö country store,59.278984,18.735844,#DAA520,grocery
Stavsnäs ferry stop,59.286311,18.704814,#000080,ferry
Runmarö country store,59.278984,18.735844,#8B0000,alcohol-shop
Östemar old barbecue place,58.887353,18.137578,#D2691E,bbq
Fjärdlång tent site barbecue area,59.0378705,18.5160081,#D2691E,bbq
Nämdö Church,59.18436111,18.69466667,#654321,religious-christian
"Furusund bathing area, barbecue area",59.661464,18.902344,#D2691E,bbq
Arholma grocery,59.851166,19.108069,#8B0000,alcohol-shop
Yxlö brygga grillplats,59.632099,18.864058,#D2691E,bbq
Möja Coop,59.40668,18.88691,#DAA520,grocery
Arholma Church,59.84602778,19.1105,#654321,religious-christian
Långviks pier,59.296399,18.771917,#000080,ferry
Möja Coop,59.40668,18.88691,#8B0000,alcohol-shop
Södra Ingmarsö ferry stop,59.465369,18.750957,#000080,ferry
Sand ferry sport,59.182328,18.693147,#000080,ferry
North Storsand BBQ,58.877736,18.135786,#D2691E,bbq
Norra Grinda ferry stop,59.419171,18.558687,#000080,ferry
Räfnäs ferry stop,59.752297,19.080339,#000080,ferry
Landsort north ferry stop,58.768834,17.85839,#000080,ferry
Rånö grocery,58.91981,18.176656,#8B0000,alcohol-shop
Ankarudden ferry stop,58.801224072,17.835783891,#000080,ferry
Finnhamn ferry stop,59.482837,18.826752,#000080,ferry
SAT bbq southern Storsand Nåttarö,58.8758738,18.1339749,#D2691E,bbq
Lidö Österhamn barbecue spot,59.778733,19.091683,#D2691E,bbq
Landsort west ferry stop,58.744542,17.864569,#000080,ferry
Åsättra ferry stop,59.504728,18.638058,#000080,ferry
"Södra fladen Utö, grill site 2",58.951732,18.286313,#D2691E,bbq
Östemar new bbq area,58.887157,18.137387,#D2691E,bbq
Noret Fjärdlång barbecue site,59.031514,18.520431,#D2691E,bbq
Landsort east stop,58.743782,17.868274,#000080,ferry
Lättinge ferry stop,59.044796,18.365203,#000080,ferry
North Svartsö ferry stop,59.458856,18.676735,#000080,ferry
Utö Church,58.95760556,18.29072778,#654321,religious-christian
Norrö ferry stop,58.905081,18.149854,#000080,ferry
Arholma ferry stop,59.851226,19.10753,#000080,ferry
"Vänsvik cape, Nåttarö BBQ",58.866529,18.131126,#D2691E,bbq
Långvik,59.437777777,18.923611111,#708090,building
Ingmarsö Brottö Local Heritage Museum,59.473571925,18.75556461,#8B4513,museum
Östanvik ferry stop,59.197467985,18.739831237,#000080,ferry
Storsand bbq 2  Nåttarö,58.875992,18.133978,#D2691E,bbq
Ramsmora,59.428722,18.90981,#708090,building
Spränga ferry stop,58.957522,18.294478,#000080,ferry
"Thielska villa, barbecue area",59.036678,18.517191,#D2691E,bbq
Sandhamn ferry stop,59.288453,18.915581,#000080,ferry
The boys' point grill area,59.479442,18.805395,#D2691E,bbq
North Ingmarsö ferry stop,59.477107,18.749015,#000080,ferry
Grill area Storsand,58.877121,18.133729,#D2691E,bbq
Brottö jetty,59.465658,18.727618,#000080,ferry
SAT Ålö - Utö,58.935986,18.228657,#32CD32,shoe
Nämdöböte ferry stop,59.208756,18.740054,#000080,ferry
Vindskydd lilla Jolpan,59.47289,18.818998,#A0522D,shelter
Hasselmara ferry stop,59.089155088,18.415409522,#000080,ferry
Köpmanholm's local shop,59.659515,18.932257,#DAA520,grocery
Sollenkroka ferry stop,59.373037755,18.69873796,#000080,ferry
Nåttarö brygga,58.881768,18.109819,#000080,ferry
Gruvbryggan ferry stop,58.970419348,18.325082143,#000080,ferry
Svartsö grocery,59.43805,18.656619,#8B0000,alcohol-shop
Ålö ferry stop,58.919996537,18.191758076,#000080,ferry
Årsta ferry stop,59.082236,18.173469,#000080,ferry
Idholmens farm shop,59.483248,18.815476,#008B8B,grocery
Utö livs,58.969297,18.322073,#DAA520,grocery
Utö livs,58.969297,18.322073,#8B0000,alcohol-shop
Simpnäs ferry stop,59.869934315,19.077354534,#000080,ferry
Skarsand SAT barbecue area,58.884175,18.136531,#D2691E,bbq
Styrsvik jetty,59.280197,18.731461,#000080,ferry
"Fjärdlång bryggan, grillplats",59.035715,18.511983,#D2691E,bbq
Dalarö ferry stop,59.129491,18.404953,#000080,ferry
bbq Arholma Nord east,59.861188,19.125337,#D2691E,bbq
"Österhamn, Arholma",59.845,19.121666666,#708090,building
Solvik ferry stop,59.184623,18.700403,#000080,ferry
Ornö Church,59.05252778,18.43077778,#654321,religious-christian
Idholmen barbecue area,59.482883,18.807794,#D2691E,bbq
Nåttarö west camping grill place,58.876961,18.106936,#D2691E,bbq
Hiking sign SAT Ingmarsö,59.481,18.798347,#FECC02,information
Christiansborg,59.661619,18.915802,#708090,building
Sundby Gård – Magasinets café,59.031736,18.389745,#E3A69B,cafe
Hiking sign SAT Utö,58.969984,18.327263,#FECC02,information
Hiking sign SAT Ingmarsö,59.470347,18.769005,#FECC02,information
Hiking sign SAT Ingmarsö,59.475337,18.751305,#FECC02,information
Hotel Dagmar,59.66175,18.916527777,#8B4513,lodging
harbour warehouse,58.969955089,18.323658949,#008B8B,shop
Hiking sign SAT Svartsö,59.457297,18.678761,#FECC02,information
Gittans-KBB on Ornö,59.051899,18.432277,#C1853B,restaurant
Hiking sign SAT Ingmarsö,59.472969,18.755671,#FECC02,information
Hiking sign SAT Ornö,59.059434,18.424934,#FECC02,information
Ornö bathing place Kyrkviken,59.055193597,18.436481019,#5DA6C2,swimming
Ornö community center,59.051869661,18.431677626,#708090,building
Möja harbor bar,59.406399862,18.884540155,#C1853B,restaurant
Hiking sign SAT Svartsö,59.448886,18.686527,#FECC02,information
Arholma camping drinking water,59.8542547,19.1123727,#1E90FF,drinking-water
Hiking sign SAT Finnhamn,59.481139,18.82214,#FECC02,information
Hiking sign SAT Sandhamn,59.288026,18.918738,#FECC02,information
Hiking sign SAT Finnhamn,59.48273,18.826538,#FECC02,information
Möja Bakery,59.406674,18.88475,#C4AD00,bakery
Runmarö rum,59.277144,18.738225,#8B4513,lodging
Hiking sign SAT Ingmarsö,59.469736,18.75343,#FECC02,information
Sauna on Nämdö,59.2019801,18.7122317,#654321,gate
Hiking sign SAT Runmarö,59.29606,18.771822,#FECC02,information
Arholma Österhamn drinking water,59.844750468,19.121308733,#1E90FF,drinking-water
Hiking sign SAT Utö,58.962033,18.308237,#FECC02,information
Hiking sign SAT Svartsö,59.43798,18.658168,#FECC02,information
Hiking sign SAT Svartsö,59.455575,18.739413,#FECC02,information
Hiking sign SAT Finnhamn,59.478415,18.824334,#FECC02,information
Finnhamn cabin village drinking water,59.481536,18.811292,#1E90FF,drinking-water
Svartsö Jetty Café,59.437978,18.656539,#E3A69B,cafe
Sundby Gård farm shop,59.031817213,18.390091765,#008B8B,grocery
Stugviken Rånö drinking water pump,58.9254,18.16937,#1E90FF,drinking-water
Hiking sign SAT Ornö,59.076421,18.391195,#FECC02,information
Hiking sign SAT Svartsö,59.454145,18.714136,#FECC02,information
Svartsö Boathouses,59.438004,18.656293,#C2B280,lodging
Östra Ålö barbecue area,58.922703604,18.223478542,#D2691E,bbq
Arholma sauna,59.842149,19.119939,#654321,gate
Hiking sign SAT Grinda,59.418743,18.558778,#FECC02,information
Rånö cabin village water pump,58.916448,18.165271,#1E90FF,drinking-water
Sandhamn Dive Bar,59.2885954,18.9143647,#C1853B,restaurant
Hostel Bull-August Farm,59.844411,19.110326,#8B4513,lodging
Hiking sign SAT Svartsö,59.450096,18.689013,#FECC02,information
Vandringsskylt SAT Lidö,59.770257,19.079327,#FECC02,information
Q135152816,59.051303,18.429764,#E3A69B,cafe
Hiking sign SAT Utö,58.961139,18.336703,#FECC02,information
Hiking sign SAT Runmarö,59.278512,18.760569,#FECC02,information
Finnhamn cabin village drinking water,59.4817642,18.8102035,#1E90FF,drinking-water
Hiking sign SAT Utö,58.969922,18.325095,#FECC02,information
Arholma southern Österhamn drinking water,59.843150884,19.120156777,#1E90FF,drinking-water
Feldspar mine,58.941061,18.21242,#8E8D91,industry
Arholma Bryggcafé,59.851069,19.108137,#E3A69B,cafe
Hiking sign SAT Ornö,59.059007,18.392302,#FECC02,information
Västerudden beach,59.291053,18.896163,#5DA6C2,swimming
Hiking sign SAT Ornö,59.050146,18.369519,#FECC02,information
Hiking sign SAT Grinda,59.407603,18.553459,#FECC02,information
"Kinnekulle beach, Ålö",58.92263,18.223706,#5DA6C2,swimming
Ornö boatyard self-service,59.034499359,18.373024136,#E3A69B,cafe
Hiking sign SAT Ornö,59.045162,18.365236,#FECC02,information
Finnhamn nature reserve,59.474933564,18.84400489,#228B22,park
Nåttarö,58.873033344,18.118719831,#FF0000,circle
Köpmanholm,59.65510562,18.929257327,#5B7553,village
Åvassa,59.073021,18.464175,#9ACD32,farm
Nämdö Solvik,59.1850001,18.7003354,#C1853B,restaurant
Yxlan,59.616666666,18.85,#FF0000,circle
Fiversättra,59.083971,18.475701,#9ACD32,farm
Lilla Jolpan,59.475277777,18.821388888,#FF0000,circle
Les Poissonniers,59.407072,18.885621,#C1853B,restaurant
Sandhamn old school,59.287478,18.911747,#8B4513,school
Nåttarö kayak rental,58.880652,18.111101,#1874CD,racetrack-boat
Ålö,58.916666666,18.208333333,#FF0000,circle
Nåttarö new guest harbor drinking water,58.881072,18.110742,#1E90FF,drinking-water
Nåttarö new guest harbor drinking water,58.881072,18.110742,#1E90FF,drinking-water
"mink farm, Lidö",59.78115,19.08162,#9ACD32,farm
Furusund Mill,59.660063,18.914436,#D2691E,windmill
Arholma Nord kayak rental,59.86149,19.123717,#1874CD,racetrack-boat
Utö nature reserve,58.986944444,18.312222222,#228B22,park
Arholma,59.85,19.116666666,#FF0000,circle
Fjärdlång tent site drinking water,59.037306,18.515694,#1E90FF,drinking-water
Runmarö,59.283333333,18.766666666,#FF0000,circle
Furusund,59.660456097,18.906957059,#5B7553,village
Finnhamn camp site drinking water,59.476458,18.817317,#1E90FF,drinking-water
Hässelmara,59.0825,18.40277778,#FF0000,circle
Coop Ingmarsö,59.46616,18.751834,#DAA520,grocery
Lidö nature reserve,59.784268,19.080419,#228B22,park
The Sandhamn Guides,59.288,18.917,#1874CD,racetrack-boat
Ornö gas station,59.051773,18.432768,#32DD32,bicycle
Nåttarö restaurant,58.880849,18.11251,#C1853B,restaurant
Landsort,58.739603,17.8658,#FF0000,circle
Solberga Farm Runmarö Kayak Rental,59.255867,18.758125,#1874CD,racetrack-boat
Sandhamn pilot station,59.289944444,18.914972222,#8B4513,lighthouse
Ålö-Rånö,58.92966,18.1886,#228B22,park
Sixtens Bodega,58.881102,18.112528,#C1853B,restaurant
Östanvik farm,59.1964,18.7319,#9ACD32,farm
camping site drinking water  Landsort,58.76751,17.860406,#1E90FF,drinking-water
The front pocket's restaurant,59.413985,18.556654,#C1853B,restaurant
Ålö jetty drinking water,58.920253,18.195122,#1E90FF,drinking-water
Landsort 120-mm. Heavy Artillery Battery,58.76444444,17.86416667,#8B4513,museum
Arholma dance floor,59.849869,19.108631,#C1853B,restaurant
Kålgårdsön nature reserve,59.474223038,18.798240011,#228B22,park
Active Archipelago Utö,58.970092,18.327947,#1874CD,racetrack-boat
Finnhamn grocery store drinking water,59.482742,18.824092,#1E90FF,drinking-water
Arholma Nord,59.86079312,19.123592134,#C1853B,restaurant
Artist Axel Sjöberg 1866–1950,59.289472222,18.914777777,#C1A170,monument
Hotel Furusund,59.659002,18.916161,#C1853B,restaurant
Landsort lighthouse,58.739583333,17.865666666,#8B4513,lighthouse
Grinda nature reserve,59.411864,18.554258,#228B22,park
Möja Outdoor,59.406618514,18.872265097,#1874CD,racetrack-boat
Sandhamn,59.287359479,18.911548891,#5B7553,village
Möja,59.416666666,18.883333333,#FF0000,circle
Ingmarsö,59.475,18.766666666,#FF0000,circle
Landsort guest harbor AED,58.768584,17.858155,#FF0000,defibrillator
Lilla Haket & Ninas Bod,58.9698574,18.324714812,#C1853B,restaurant
Sandhamn's customs house,59.28964,18.9147,#708090,building
Rånö grocery,58.91981,18.176656,#DAA520,grocery
Rånö,58.929722222,18.181666666,#FF0000,circle
Sandön,59.283333333,18.916666666,#FF0000,circle
western harbor drinking water  Landsort,58.744676,17.865062,#1E90FF,drinking-water
Bryggans little kitchen,58.970413973,18.327448289,#C1853B,restaurant
Rånö drinking water camp site,58.927381,18.189722,#1E90FF,drinking-water
Utö,58.933333333,18.25,#FF0000,circle
Plague cemetery at Öja island (Landsort),58.749814,17.864278,#696969,cemetery
Möja Outdoor,59.406618514,18.872265097,#32DD32,bicycle
Ragnar's kiosk,59.479411,18.812757,#1874CD,racetrack-boat
Yxlö,59.607897461,18.838957892,#FF0000,circle
Grinda,59.409722222,18.566666666,#FF0000,circle
Yxlan lighthouse,59.591083333,18.793888888,#8B4513,lighthouse
Fjärdlång,59.041666666,18.523611111,#FF0000,circle
Svedtilja's restaurant,58.742515,17.866878,#C1853B,restaurant
Ornö,59.066666666,18.416666666,#FF0000,circle
Nämdö Archipelago Museum drinking water.,59.182152,18.688602,#1E90FF,drinking-water
Arholma Nord,59.86079312,19.123592134,#8B4513,lodging
Sandhamns kapell,59.28672222,18.91147222,#654321,religious-christian
Hotel Furusund,59.659002,18.916161,#8B4513,lodging
Lidö,59.779722222,19.077777777,#FF0000,circle
Nämdö,59.2,18.7,#FF0000,circle
Furusunds Hamnkrog,59.661176979,18.917288301,#C1853B,restaurant
Lidö inn,59.77133333,19.07997222,#C1853B,restaurant
Rånö farm,58.936051,18.198745,#A52A2A,farm
Hamn,59.42827,18.85436,#708090,building
Kyrkvikens Bar & Bistro Ornö,59.05177,18.431652,#C1853B,restaurant
Möja Jernväg,59.406722222,18.887638888,#4B3621,rail
Svartsö kayak,59.438104994,18.6417515,#1874CD,racetrack-boat
Svartsö grocery,59.43805,18.656619,#DAA520,grocery
Finnhamn cabin village drinking water,59.4816388,18.8124063,#1E90FF,drinking-water
north harbor drinking water  Landsort,58.768859,17.857649,#1E90FF,drinking-water
Öja,58.75694444,17.865,#FF0000,circle
Kolsvik,59.633611,18.893611,#FF0000,circle
Nämdö camping drinking water,59.199897,18.708,#1E90FF,drinking-water
Kayakomat Stockholm Archipelago Ornö,59.051691,18.432354,#1874CD,racetrack-boat
Svartsö,59.45,18.683333333,#FF0000,circle
Arholma-Idö nature reserve,59.818524173,19.135512106,#228B22,park
museet at Landsort,58.744119,17.865055,#8B4513,museum
Stockholm archipelago,59.383333333,18.733333333,#CC1F00,star
Finnhamn,59.47894,18.82018,#FF0000,circle
"Södra fladen wind shelter 2, Utö",58.951769,18.286399,#A0522D,shelter
Furusund,59.660456097,18.906957059,#FF0000,circle
Nåttarö hostel drinking water,58.886509,18.136456,#1E90FF,drinking-water
Trail sign SAT Landsort,58.766947,17.860033,#FECC02,information
Grinda cabin village,59.406969,18.565116,#C2B280,lodging
Sandhamn Inn,59.289745,18.914455,#C1853B,restaurant
Berg ferry stop,59.406112,18.888765,#000080,ferry
Sandhamn Fläskberget AED,59.289125,18.905641,#FF0000,defibrillator
Ramsmora Möja AED,59.428501,18.910614,#FF0000,defibrillator
