sat_id,osm_type_conc,osm_id_conc,osm_type_osm,osm_id_osm
sat:poi:737xd,node,12738887792.0,node,12738887792.0
sat:poi:74m64,node,7783598695.0,node,7783598695.0
sat:poi:756xr,node,5856137515.0,node,5856137515.0
sat:poi:76qzy,node,9011995676.0,node,9011995676.0
sat:poi:77hss,node,2285332792.0,node,2285332792.0
sat:poi:78qas,node,1392325247.0,node,1392325247.0
sat:poi:7a3jy,node,13160007984.0,node,13160007984.0
sat:poi:7a8eg,,,node,7791350756.0
sat:poi:7ab8p,node,13986196759.0,node,13986196759.0
sat:poi:7am32,way,834634943.0,way,834634943.0
sat:poi:7dkcd,node,12738887790.0,node,12738887790.0
sat:poi:7dwam,node,9011922103.0,node,9011922103.0
sat:poi:7dyp7,way,1528878633.0,way,1528878633.0
sat:poi:7ebqj,way,507890625.0,way,507890625.0
sat:poi:7hegr,way,1089639096.0,way,1089639096.0
sat:poi:7j67w,way,1305287603.0,way,1305287603.0
sat:poi:7jcng,node,8920392568.0,node,8920392568.0
sat:poi:7jrt8,node,2942213712.0,,
sat:poi:7mw8m,node,13068007428.0,,
sat:poi:7tqqb,node,1414841723.0,node,1414841723.0
sat:poi:7vc54,way,696324903.0,way,696324903.0
sat:poi:7xzqc,way,388325198.0,way,388325198.0
sat:poi:7yskn,way,329728728.0,way,329728728.0
sat:poi:7ytre,way,290717946.0,way,290717946.0
sat:poi:7z9gx,node,5008269763.0,node,5008269763.0
sat:poi:8283n,node,1414776607.0,node,1414776607.0
sat:poi:8283n,node,1414776607.0,way,1422807518.0
sat:poi:836c6,way,1534956531.0,,
sat:poi:83pc7,way,1537100141.0,,
sat:poi:83tp9,node,6415002799.0,,
sat:poi:84pdd,node,4964697373.0,node,4964697373.0
sat:poi:85zjp,node,12899347960.0,node,12899347960.0
sat:poi:85zjp,node,12899347960.0,way,1537326185.0
sat:poi:899ca,way,229110257.0,way,229110257.0
sat:poi:89hz7,node,6722964356.0,node,6722964356.0
sat:poi:8bqsq,node,794630742.0,node,794630742.0
sat:poi:8dncm,node,13164756107.0,node,13164756107.0
sat:poi:8ft7b,node,2908787815.0,node,2908787815.0
sat:poi:8gdsa,way,605807585.0,way,605807585.0
sat:poi:8kxjh,node,11941810402.0,node,11941810402.0
sat:poi:8n3kf,way,504184973.0,way,504184973.0
sat:poi:8p6kd,node,5734098673.0,node,5734098673.0
sat:poi:8rm48,way,229110288.0,way,229110288.0
sat:poi:8sb6w,way,1145185654.0,way,1145185654.0
sat:poi:8wsnn,node,12748135109.0,node,12748135109.0
sat:poi:8wtn9,way,247542041.0,way,247542041.0
sat:poi:8y9p9,node,1412263117.0,node,1412263117.0
sat:poi:8z9k8,node,13072501851.0,node,13072501851.0
sat:poi:8zftx,way,1089664761.0,way,1089664761.0
sat:poi:947dr,node,2943477510.0,node,2943477510.0
sat:poi:95d39,node,10948911479.0,node,10948911479.0
sat:poi:964s4,node,12145802009.0,,
sat:poi:978hx,node,12905547872.0,node,12905547872.0
sat:poi:9aj9f,,,way,229110249.0
sat:poi:9ay3e,node,13064822373.0,node,13064822373.0
sat:poi:9bj9d,way,1305276862.0,way,1305276862.0
sat:poi:9bn26,way,247542038.0,way,247542038.0
sat:poi:9bthb,way,1178578023.0,way,1178578023.0
sat:poi:9cpwf,node,13965044888.0,node,13965044888.0
sat:poi:9f68z,node,12690677492.0,node,12690677492.0
sat:poi:9hzqe,node,13943777187.0,node,13943777187.0
sat:poi:9jry6,node,13954334203.0,node,13954334203.0
sat:poi:9kf2w,node,13107588525.0,node,13107588525.0
sat:poi:9kf2w,node,13107588525.0,node,14023546865.0
sat:poi:9m7wv,node,2550380413.0,node,2550380413.0
sat:poi:9m9yn,node,14000899080.0,node,14000899080.0
sat:poi:9p5kn,node,8920392565.0,node,8920392565.0
sat:poi:9qxvg,node,13042690918.0,node,13042690918.0
sat:poi:9rwwe,node,435190209.0,node,435190209.0
sat:poi:9sa42,way,300450537.0,,
sat:poi:9x9zq,node,14028221357.0,node,14028221357.0
sat:poi:9xbg8,node,12118209285.0,,
sat:poi:9xkjj,node,1033001787.0,node,1033001787.0
sat:poi:9xyp5,node,12085564579.0,node,12085564579.0
sat:poi:9y6jx,node,13063312449.0,node,13063312449.0
sat:poi:9z37b,node,5005791361.0,node,5005791361.0
sat:poi:a2j2d,way,1527523039.0,way,1527523039.0
sat:poi:a3nx8,node,12813901080.0,node,12813901080.0
sat:poi:a4jkh,way,1418915972.0,way,1418915972.0
sat:poi:a56dh,,,node,12745161549.0
sat:poi:a5b88,node,4986599082.0,node,4986599082.0
sat:poi:a7yaa,,,node,12748135194.0
sat:poi:a9g3q,way,1425797491.0,way,1425797491.0
sat:poi:aawd4,way,1534931001.0,way,1534931001.0
sat:poi:adffa,node,5856137513.0,node,5856137513.0
sat:poi:afn84,way,422017049.0,way,422017049.0
sat:poi:agrak,node,794630768.0,node,794630768.0
sat:poi:ahtt7,,,node,12735795790.0
sat:poi:aj4jn,way,1305279425.0,way,1305279425.0
sat:poi:ajh9w,node,13826905255.0,node,13826905255.0
sat:poi:akp86,way,186188154.0,way,186188154.0
sat:poi:apw8p,relation,14757966.0,relation,14757966.0
sat:poi:awj76,node,14002366735.0,,
sat:poi:awnk4,node,13987524965.0,node,13987524965.0
sat:poi:aze59,node,10049761782.0,,
sat:poi:b3bvp,node,4958553279.0,node,4958553279.0
sat:poi:b7h76,node,12088425263.0,node,12088425263.0
sat:poi:b7nxb,node,1392309442.0,node,1392309442.0
sat:poi:baaav,way,1413799336.0,way,1413799336.0
sat:poi:bayh6,,,node,9981328487.0
sat:poi:bc4jt,node,12862822557.0,node,12862822557.0
sat:poi:bcscm,node,1032978690.0,node,1032978690.0
sat:poi:bdn8h,node,11079164850.0,node,11079164850.0
sat:poi:bgaf7,way,1304510629.0,,
sat:poi:bhm9p,node,13856234564.0,node,13856234564.0
sat:poi:bjxjx,node,13159921823.0,node,13159921823.0
sat:poi:bkwcw,node,14002933455.0,node,14002933455.0
sat:poi:bpfbr,way,506814565.0,way,506814565.0
sat:poi:bpmgr,way,222762704.0,,
sat:poi:btb63,node,5013691335.0,node,5013691335.0
sat:poi:btdrf,node,12864797308.0,node,12864797308.0
sat:poi:bwsb2,node,13190933132.0,,
sat:poi:bxg3f,way,1388670812.0,way,1388670812.0
sat:poi:by28s,way,265058982.0,way,265058982.0
sat:poi:c25bv,node,14002117405.0,,
sat:poi:c2qvj,node,863423353.0,node,863423353.0
sat:poi:c3xce,node,13158730230.0,node,13158730230.0
sat:poi:c4eve,way,422017054.0,way,422017054.0
sat:poi:c4vhp,node,5670064974.0,node,5670064974.0
sat:poi:c4xct,node,13098115083.0,node,13098115083.0
sat:poi:c5543,node,12210482861.0,node,12210482861.0
sat:poi:c5bst,node,3045387121.0,node,3045387121.0
sat:poi:c6nkw,,,node,12748117664.0
sat:poi:c7xhs,node,2996710481.0,node,2996710481.0
sat:poi:c7zb4,way,322935651.0,way,322935651.0
sat:poi:c828q,node,12861791606.0,node,12861791606.0
sat:poi:c89yp,node,5569009500.0,node,5569009500.0
sat:poi:c8je6,node,3431736753.0,node,3431736753.0
sat:poi:c8z6n,node,10658261600.0,node,10658261600.0
sat:poi:ca4g2,node,683821642.0,node,683821642.0
sat:poi:cbm6r,node,9937193058.0,node,9937193058.0
sat:poi:cbnjd,way,1424973417.0,node,13098060270.0
sat:poi:cbqd2,way,322935663.0,way,322935663.0
sat:poi:cbt7n,way,955904605.0,node,8846898703.0
sat:poi:cbt7n,way,955904605.0,way,955904605.0
sat:poi:cd4yv,node,4963568292.0,node,4963568292.0
sat:poi:cgqy6,way,290833644.0,way,290833644.0
sat:poi:cgszh,node,13943766555.0,node,13943766555.0
sat:poi:chvh9,node,5008269773.0,node,5008269773.0
sat:poi:cmryc,way,292553962.0,way,292553962.0
sat:poi:cp5kv,node,5745003238.0,node,5745003238.0
sat:poi:cq7aq,relation,14757964.0,relation,14757964.0
sat:poi:csj4z,,,way,220389506.0
sat:poi:cswq6,way,1305276861.0,way,1305276861.0
sat:poi:cwaqz,way,223282393.0,,
sat:poi:cxh8j,,,node,13112047863.0
sat:poi:cypg8,node,5798509129.0,node,5798509129.0
sat:poi:d2mv2,node,8841112187.0,node,8841112187.0
sat:poi:d34hq,way,833560682.0,way,833560682.0
sat:poi:d63qb,node,12076565048.0,node,12076565048.0
sat:poi:d69c2,way,222762673.0,,
sat:poi:d9hbs,node,13780498735.0,node,13780498735.0
sat:poi:d9jkk,node,13063317163.0,node,13063317163.0
sat:poi:d9saa,node,13981142695.0,,
sat:poi:da5qa,way,227166928.0,way,227166928.0
sat:poi:da74h,way,222762675.0,,
sat:poi:dbmrp,node,13096093701.0,node,13096093701.0
sat:poi:dbnaq,,,node,12886705448.0
sat:poi:dbvhe,way,1305192611.0,way,1305192611.0
sat:poi:dcaf2,way,329728726.0,way,329728726.0
sat:poi:dcm2b,node,2208328978.0,node,2208328978.0
sat:poi:ddaw2,node,10796713818.0,node,10796713818.0
sat:poi:dfzxd,node,13030354537.0,node,13030354537.0
sat:poi:dhhn9,,,node,13955622486.0
sat:poi:dht6w,node,794630735.0,node,794630735.0
sat:poi:dkshm,node,4936509760.0,node,4936509760.0
sat:poi:dpfvk,node,12861931845.0,node,12861931845.0
sat:poi:dpqes,way,322935632.0,way,322935632.0
sat:poi:dpz3y,,,node,13081270868.0
sat:poi:dq4bj,node,12864742991.0,node,12864742991.0
sat:poi:drrp5,way,229605202.0,,
sat:poi:dsy4g,way,229605203.0,,
sat:poi:dv33y,way,246989960.0,way,246989960.0
sat:poi:dvhdp,,,way,507890626.0
sat:poi:dztmf,node,4389522289.0,node,4389522289.0
sat:poi:e2hzr,way,229605226.0,way,229605226.0
sat:poi:e2sqb,node,2208326930.0,node,2208326930.0
sat:poi:e4tfh,node,863394993.0,node,863394993.0
sat:poi:e82y7,way,698715293.0,way,698715293.0
sat:poi:e8j79,node,13041364818.0,node,13041364818.0
sat:poi:e9267,,,node,12778302898.0
sat:poi:e97a2,way,941508110.0,way,941508110.0
sat:poi:e97e5,node,13164662180.0,node,13164662180.0
sat:poi:ebmh3,node,4986606253.0,node,4986606253.0
sat:poi:ec52a,way,615512178.0,way,615512178.0
sat:poi:ecgfg,way,512145741.0,way,512145741.0
sat:poi:ef5s8,node,2942213743.0,node,2942213743.0
sat:poi:ef9bz,way,292553961.0,way,292553961.0
sat:poi:efta6,node,5008269786.0,node,5008269786.0
sat:poi:eg5ac,node,4958820945.0,node,4958820945.0
sat:poi:ehnwp,way,1203469960.0,way,1203469960.0
sat:poi:ej4zw,way,388325539.0,way,388325539.0
sat:poi:ejkdh,node,6013360089.0,node,6013360089.0
sat:poi:ejn2w,node,3665537335.0,,
sat:poi:ejt9h,node,5845367185.0,node,5845367185.0
sat:poi:ekzkg,node,12864358622.0,node,12864358622.0
sat:poi:embmb,node,822527382.0,node,822527382.0
sat:poi:enxxz,node,794630763.0,node,794630763.0
sat:poi:eqe2j,node,12100561901.0,,
sat:poi:esdwr,way,834655198.0,way,834655198.0
sat:poi:eswrg,node,1414841720.0,node,1414841720.0
sat:poi:ez9qc,node,12862899770.0,node,12862899770.0
sat:poi:f43td,node,14002218333.0,,
sat:poi:f4mjz,node,11080859473.0,node,11080859473.0
sat:poi:f4naz,,,node,12814390356.0
sat:poi:f5656,node,5728810295.0,node,5728810295.0
sat:poi:f57he,node,12151384563.0,node,12151384563.0
sat:poi:f6vsy,node,822563176.0,node,822563176.0
sat:poi:f7eqh,node,6724706158.0,node,6724706158.0
sat:poi:f8bsx,way,465662338.0,way,465662338.0
sat:poi:f9aej,node,3053781979.0,node,3053781979.0
sat:poi:fap7m,node,5860556339.0,node,5860556339.0
sat:poi:fbetp,way,1416109773.0,way,1416109773.0
sat:poi:fe88s,way,435773966.0,way,435773966.0
sat:poi:ff4gr,node,12944955835.0,node,12944955835.0
sat:poi:fgfa4,node,13961732211.0,node,13961732211.0
sat:poi:fhn5g,way,224465745.0,way,224465745.0
sat:poi:fhvww,node,2942213121.0,,
sat:poi:fmwme,node,12961165511.0,,
sat:poi:fntbb,node,13935351868.0,node,13935351868.0
sat:poi:fqw8k,,,node,13144859129.0
sat:poi:fqxgk,,,node,11145662490.0
sat:poi:ftdh5,node,436368336.0,node,436368336.0
sat:poi:fv97k,node,12958498621.0,node,12958498621.0
sat:poi:fvjxc,node,13065225866.0,node,13065225866.0
sat:poi:fwaj8,way,1535142231.0,way,1535142231.0
sat:poi:fwfmy,,,node,12892241515.0
sat:poi:fwpgg,,,node,12759232983.0
sat:poi:fy56d,way,1305281226.0,way,1305281226.0
sat:poi:fzzma,node,12925929671.0,,
sat:poi:g2kca,node,1401993169.0,node,1401993169.0
sat:poi:g3k29,node,12090393146.0,node,12090393146.0
sat:poi:g3ppd,way,427182337.0,way,427182337.0
sat:poi:g4b6r,way,222762700.0,,
sat:poi:g4v79,node,1414776609.0,node,1414776609.0
sat:poi:g4zk2,way,1395293068.0,way,1395293068.0
sat:poi:g565e,way,715392362.0,way,715392362.0
sat:poi:g5xf7,way,1408630662.0,way,1408630662.0
sat:poi:g8v3q,node,2908785465.0,node,2908785465.0
sat:poi:gbhad,node,5006428827.0,node,5006428827.0
sat:poi:gc95d,way,229110286.0,way,229110286.0
sat:poi:gdtt5,node,13982007524.0,,
sat:poi:gfv5w,node,13957632584.0,node,13957632584.0
sat:poi:gfyya,node,1611299266.0,node,1611299266.0
sat:poi:ghgfg,node,11231068339.0,node,11231068339.0
sat:poi:ght3f,way,222182589.0,way,222182589.0
sat:poi:gjaxf,way,222170774.0,way,222170774.0
sat:poi:gmwge,way,1535070478.0,way,1535070478.0
sat:poi:gn35x,node,4990429702.0,node,4990429702.0
sat:poi:gq3qn,node,6561227622.0,node,6561227622.0
sat:poi:gqg6p,way,615513435.0,way,615513435.0
sat:poi:gqgsx,node,4239095028.0,node,4239095028.0
sat:poi:gsx9c,node,14002873500.0,node,14002873500.0
sat:poi:gt7g7,node,1412276022.0,node,1412276022.0
sat:poi:gtd3p,node,9981328446.0,node,9981328446.0
sat:poi:gvh9x,,,node,13097212671.0
sat:poi:gxfc3,way,432992658.0,way,432992658.0
sat:poi:gysy6,node,14026909991.0,node,14026909991.0
sat:poi:h28xa,node,13068195359.0,node,13068195359.0
sat:poi:h4ben,way,301259865.0,way,301259865.0
sat:poi:h584q,node,1414776582.0,node,1414776582.0
sat:poi:h5vam,node,13037259125.0,node,13037259125.0
sat:poi:h5y4c,,,node,5856137370.0
sat:poi:h9rbs,node,12070083980.0,node,12070083980.0
sat:poi:haq8d,node,7784414173.0,node,7784414173.0
sat:poi:hcdyf,node,4962580122.0,node,4962580122.0
sat:poi:hdy4g,way,229110262.0,way,229110262.0
sat:poi:hf5wd,node,13030354538.0,node,13030354538.0
sat:poi:hfc5p,node,5008269746.0,node,5008269746.0
sat:poi:hfham,node,13014966006.0,node,13014966006.0
sat:poi:hfwge,node,13826859993.0,node,13826859993.0
sat:poi:hmef5,node,8920392566.0,node,4694016917.0
sat:poi:hmef5,node,8920392566.0,node,8920392566.0
sat:poi:hpy7b,node,13820131465.0,,
sat:poi:hpzqx,way,229605204.0,,
sat:poi:hr6cm,node,863394740.0,node,863394740.0
sat:poi:ht9c2,node,426925732.0,node,426925732.0
sat:poi:hvm2x,way,1236446195.0,way,1236446195.0
sat:poi:hvp94,node,13081283759.0,node,13081283759.0
sat:poi:j7p3d,way,757247928.0,way,757247928.0
sat:poi:ja4vn,node,13951966086.0,node,13951966086.0
sat:poi:jap84,way,229605200.0,,
sat:poi:jbdd6,node,800689265.0,node,800689265.0
sat:poi:jg4w4,way,1416789353.0,way,1416789353.0
sat:poi:jn6qh,node,5008269767.0,,
sat:poi:jndv4,node,7997530880.0,node,7997530880.0
sat:poi:jr83r,relation,10694817.0,relation,10694817.0
sat:poi:jtevx,node,1350571499.0,node,1350571499.0
sat:poi:jva64,node,4308918510.0,node,4308918510.0
sat:poi:jwkmw,node,443132453.0,node,443132453.0
sat:poi:k2pv3,way,1192092028.0,way,1192092028.0
sat:poi:k39nr,way,227166926.0,way,227166926.0
sat:poi:kaq8k,node,1414841724.0,,
sat:poi:kbjpq,way,300450545.0,way,300450545.0
sat:poi:kbxxd,node,2916662097.0,node,2916662097.0
sat:poi:kd5af,node,5028980498.0,node,5028980498.0
sat:poi:kdwzg,node,14002219440.0,node,14002219440.0
sat:poi:kex96,way,833889554.0,way,833889554.0
sat:poi:kg3cy,node,5025049877.0,node,5025049877.0
sat:poi:kgy64,node,2943477509.0,node,2943477509.0
sat:poi:kkevg,node,9936118752.0,node,9936118752.0
sat:poi:kqfbg,way,226043396.0,way,226043396.0
sat:poi:krbvq,node,4217053868.0,node,4217053868.0
sat:poi:ks8ft,way,186188147.0,way,186188147.0
sat:poi:kw8nt,way,383557275.0,way,383557275.0
sat:poi:kwvxw,node,14022481830.0,node,14022481830.0
sat:poi:kww5g,way,1423399408.0,way,1423399408.0
sat:poi:kwwh8,node,12849416944.0,node,12849416944.0
sat:poi:kyef6,node,13100147504.0,node,13100147504.0
sat:poi:kzfw6,node,12864971430.0,node,12864971430.0
sat:poi:kztar,way,229605231.0,way,229605231.0
sat:poi:m438y,node,12072082597.0,node,12072082597.0
sat:poi:m49wz,node,2451364941.0,node,2451364941.0
sat:poi:m696y,node,13096119643.0,node,13096119643.0
sat:poi:m7fxz,way,290717945.0,way,290717945.0
sat:poi:m8k9n,node,13030994018.0,node,13030994018.0
sat:poi:ma2dr,node,2550378999.0,node,2550378999.0
sat:poi:maha6,node,1401739421.0,node,1401739421.0
sat:poi:mayra,way,301302737.0,way,301302737.0
sat:poi:mbqd3,way,952015945.0,,
sat:poi:mbw82,,,node,12744311542.0
sat:poi:mfg28,node,2495934893.0,node,2495934893.0
sat:poi:mhj78,node,6089481566.0,node,6089481566.0
sat:poi:mpmms,way,940431496.0,way,940431496.0
sat:poi:mr2z6,way,1305192614.0,way,1305192614.0
sat:poi:mrc9c,node,13991749415.0,node,13991749415.0
sat:poi:mrrfw,way,1089639083.0,way,1089639083.0
sat:poi:mrx89,way,229110259.0,way,229110259.0
sat:poi:mt8et,node,4963568623.0,node,4963568623.0
sat:poi:mts37,node,5745003239.0,node,5745003239.0
sat:poi:mxxwb,node,863394662.0,node,863394662.0
sat:poi:n2avm,node,14003343933.0,,
sat:poi:n3trh,node,5028980497.0,node,5028980497.0
sat:poi:n47kg,node,4990875342.0,node,4990875342.0
sat:poi:n5d79,node,1611299267.0,node,1611299267.0
