vehicle_id,trip_id,route_id,route_short_name,route_long_name,route_type
9031001003003147,14010000722069530,9011001042200000,422,,700.0
9031001002520069,14010100722380788,9011001001400000,14,Röda linjen,401.0
9031001003005505,14010000720461575,9011001071000000,710,,700.0
9031001004505005,14010000725407965,9011001017800000,178,,700.0
9031001004541148,14010000717895268,9011001002800000,28,Österskärslinjen,900.0
9031001003005090,14010000722562679,9011001080700000,807,,700.0
9031001003005352,14010000726288871,9011001043200000,432,,700.0
9031001001501731,14010000721896661,9011001080400000,804,,700.0
9031001001538983,14010000729542185,9011001002500000,25,Saltsjöbanan,900.0
9031001001004152,14010000717717283,9011001000600000,6,,700.0
9031001003005395,14010000722070118,9011001041400000,414,,700.0
9031001001004673,14010000726871359,9011001011900000,119,,700.0
9031001003005393,14010000723782746,9011001044300000,443,,700.0
9031001004505592,14010000721191603,9011001067600000,676,,700.0
9031001004505077,14010000725410361,9011001060700000,607,,700.0
9031001008500737,14010000725156941,9011114001700000,17,,1000.0
9031001004549352,14010000717908531,9011001002800000,28,Österskärslinjen,900.0
9031001001004016,14010000717718157,9011001000100000,1,,700.0
9031001006502655,,,,,
9031001003006101,14010000722559988,9011001085400000,854,,700.0
9031001001004696,14010000687561240,9011001051300000,513,,700.0
9031001004505040,14010000720929215,9011001061300000,613,,700.0
9031001003002761,14010000720455779,9011001070800000,708,,700.0
9031001003002778,14010000720461402,9011001074000000,740,,700.0
9031001004505014,14010000725408199,9011001061200000,612,,700.0
9031001004505062,14010000726356140,9011001060400000,604,,700.0
9031001003005516,14010000723814877,9011001016100000,161,,700.0
9031001004505035,14010000720927510,9011001060400000-604X,604X,,700.0
9031001001505010,14010000726933627,9011001097000000,7,Ersätter Spårväg City,700.0
9031001003007812,14010000719674977,9011001074300000,743,,700.0
9031001003002089,14010000722070397,9011001047400000,474,,700.0
9031001002500197,14010200722679558,9011001001900000,19,Gröna linjen,401.0
9031001003005098,14010000722560236,9011001083500000,835,,700.0
9031001002520017,14010100722380287,9011001001300000,13,Röda linjen,401.0
9031001003005524,14010000723815202,9011001016100000,161,,700.0
9031001004505524,14010000720927419,9011001062800000,628,,700.0
9031001001004140,14010000717174308,9011001052700000,527,,700.0
9031001004505506,14010000725409781,9011001017800000,178,,700.0
9031001004500469,14010000720616207,9011001057500000,575,,700.0
9031001002500016,14010100722680248,9011001001800000,18,Gröna linjen,401.0
9031001003007213,14010000646013776,9011001074700000,747,,700.0
9031001003005592,14010000720460085,9011001016300000,163,,700.0
9031001004505147,14010000721201487,9011001063400000,634,,700.0
9031001000500547,14010000725147562,9011114001300000,13,,1000.0
9031001008000635,14010000691588365,9011001008000000-80X,80X,,1000.0
9031001007042846,14010000726531151,9011001002100000,21,Lidingöbanan,900.0
9031001004505154,14010000721189991,9011001063700000,637,,700.0
9031001003005603,14010000720486715,9011001074200000,742,,700.0
9031001001004098,14010000717718292,9011001005000000,50,,700.0
9031001003003479,14010000726130666,9011001075300000,753,,700.0
9031001003005459,14010000720458471,9011001014400000,144,,700.0
9031001001004099,14010000692833182,9011001006900000,69,,700.0
9031001008000623,14010000691588096,9011001008000000,80,,1000.0
9031001004542313,14010000717908274,9011001002900000,29,Näsbyparkslinjen,900.0
9031001003005086,14010000725031870,9011001084000000,840,,700.0
9031001003005071,14010000722563087,9011001084600000,846,,700.0
9031001001506965,14010000721980952,9011001017700000,177,,700.0
9031001003005503,14010000689191549,9011001070500000,705,,700.0
9031001003005323,14010000677029061,9011001041600000,416,,700.0
9031001006502354,,,,,
9031001003005087,14010000722563320,9011001085800000,858,,700.0
9031001003005034,14010000722560141,9011001082400000,824,,700.0
9031001003003901,14010000722562765,9011001083700000,837,,700.0
9031001004500430,14010000711190117,9011001058100000,581,,700.0
9031001001004624,14010000728117629,9011001011800000,118,,700.0
9031001001004678,14010000726871235,9011001011900000,119,,700.0
9031001003005030,14010000722561244,9011001080700000,807,,700.0
9031001004500468,14010000720616128,9011001058400000,584,,700.0
9031001001004013,14010000717718244,9011001000500000,5,,700.0
9031001001004011,14010000717716689,9011001000100000,1,,700.0
9031001003006047,14010000722561460,9011001083900000,839,,700.0
9031001003005426,14010000691119839,9011001045800000,458,,700.0
9031001001004020,14010000686336803,9011001000100000,1,,700.0
9031001000500538,14010000726431534,9011114001200000,12,,1000.0
9031001004505018,14010000725409325,9011001060800000,608,,700.0
9031001003003606,14010000685766867,9011001078200000,782,,700.0
9031001003004992,14010000716974244,9011001084800000,848,,700.0
9031001003005332,14010000726290046,9011001044900000,449,,700.0
9031001002520048,14010100722380645,9011001001400000,14,Röda linjen,401.0
9031001003005067,14010000728613823,9011001082600000,826,,700.0
9031001004505515,14010000720926821,9011001068500000,685,,700.0
9031001003002807,14010000720458878,9011001017200000,172,,700.0
9031001003003594,14010000689039997,9011001075100000,751,,700.0
9031001001004146,14010000717174284,9011001051500000,515,,700.0
9031001001004029,14010000724504104,9011001007600000,76,,700.0
9031001001007616,14010000686214815,9011001005500000,55,,700.0
9031001003003578,14010000702092873,9011001017500000,175,,700.0
9031001004500409,14010000720616727,9011001057500000,575,,700.0
9031001004505065,14010000720927474,9011001062900000,629,,700.0
9031001003003058,14010000670436790,9011001055000000,550,,700.0
9031001003003593,14010000689039940,9011001075200000,752,,700.0
9031001003002733,14010000689194822,9011001016500000,165,,700.0
9031001003005384,14010000729525649,9011001040900000,409,,700.0
9031001003003874,14010000726288944,9011001044500000,445,,700.0
9031001003004976,14010000722562398,9011001086500000,865,,700.0
9031001001004693,14010000687561794,9011001011700000,117,,700.0
