sat_id,qid_conc,qid_wd
sat:poi:78qas,Q134529646,Q134529646
sat:poi:7a3jy,Q135087816,Q135087816
sat:poi:7dwam,Q133886565,Q133886565
sat:poi:7j67w,Q133812457,Q133812457
sat:poi:7jrt8,Q10478848,Q10478848
sat:poi:7vc54,Q134452251,Q134452251
sat:poi:7xzqc,Q134523881,Q134523881
sat:poi:7yskn,,Q140482992
sat:poi:7ytre,Q134776030,Q134776030
sat:poi:83pc7,Q139592013,Q139592013
sat:poi:84pdd,Q134580641,Q134580641
sat:poi:85zjp,Q134776776,Q134776776
sat:poi:899ca,Q140313515,Q140313515
sat:poi:8bqsq,Q135226164,Q135226164
sat:poi:8gdsa,Q134677819,Q134677819
sat:poi:8n3kf,Q135218755,Q135218755
sat:poi:8rm48,Q134879510,Q134879510
sat:poi:95d39,Q134985757,
sat:poi:978hx,Q106678630,Q106678630
sat:poi:978hx,Q134871089,Q106678630
sat:poi:9aj9f,Q135111506,Q135111506
sat:poi:9bn26,Q134310117,Q134310117
sat:poi:9bthb,Q134510130,Q134510130
sat:poi:9cpwf,Q140355511,Q140355511
sat:poi:9f68z,Q133459438,Q133459438
sat:poi:9hzqe,Q134839262,Q134839262
sat:poi:9hzqe,Q135103433,Q134839262
sat:poi:9jry6,Q140302852,Q140302852
sat:poi:9qxvg,Q136196939,Q136196939
sat:poi:9rwwe,Q134443436,Q134443436
sat:poi:9xkjj,Q28375391,Q28375391
sat:poi:a2j2d,Q33198077,Q33198077
sat:poi:a3nx8,Q134369828,Q134369828
sat:poi:aawd4,Q135153326,Q135153326
sat:poi:aawd4,Q135153326,Q135153351
sat:poi:agrak,Q134473761,Q134473761
sat:poi:akp86,Q134776972,Q134776972
sat:poi:awnk4,Q136207103,Q136207103
sat:poi:ayvfp,Q133841438,Q133841438
sat:poi:b3bvp,Q134726995,
sat:poi:b7nxb,Q134607564,
sat:poi:baaav,Q135266166,Q135266166
sat:poi:bayh6,Q136374558,Q136374558
sat:poi:bc4jt,Q134078770,Q134078770
sat:poi:bcscm,Q28375395,Q28375395
sat:poi:bcsxm,Q133841778,Q133841778
sat:poi:bhm9p,Q139882382,Q139882382
sat:poi:bjxjx,Q134713103,Q134713103
sat:poi:btdrf,Q135917318,Q135917318
sat:poi:bwsb2,,Q133812569
sat:poi:bxg3f,Q134537980,Q134537980
sat:poi:by28s,Q10661170,Q10661170
sat:poi:c4vhp,Q134366690,Q134366690
sat:poi:c5543,Q134593823,Q134593823
sat:poi:c828q,Q134561810,Q134561810
sat:poi:c8je6,Q134605030,
sat:poi:cbm6r,Q134705637,Q134705637
sat:poi:cbt7n,,Q107290890
sat:poi:cgszh,Q135443360,Q135443360
sat:poi:cmryc,Q10417837,Q10417837
sat:poi:cq7aq,Q133885997,Q133885997
sat:poi:csj4z,Q135152596,Q135152596
sat:poi:cxh8j,Q136036748,Q136036748
sat:poi:cypg8,Q134452061,Q134452061
sat:poi:d2mv2,Q106653497,Q106653497
sat:poi:d34hq,Q136198240,Q136198240
sat:poi:d9hbs,Q139591732,Q139591732
sat:poi:d9saa,Q135843470,Q135843470
sat:poi:dbnaq,Q134704760,Q134704760
sat:poi:dcaf2,Q135475767,Q135475767
sat:poi:dcm2b,Q134588307,Q134588307
sat:poi:dfzxd,Q140621337,Q140621337
sat:poi:dht6w,Q134713953,Q134713953
sat:poi:dkshm,Q135458780,
sat:poi:dpqes,Q134519154,Q134519154
sat:poi:dpz3y,Q135905118,Q135905118
sat:poi:dq4bj,Q134580561,Q134580561
sat:poi:dvhdp,Q135415303,Q135415303
sat:poi:e2sqb,Q134589066,Q134589066
sat:poi:e3msg,Q134606902,Q134606902
sat:poi:e4tfh,Q135972992,Q135972992
sat:poi:e82y7,Q133459418,Q29528279
sat:poi:e97a2,Q106653538,Q106653538
sat:poi:eb5j5,,Q134461524
sat:poi:ec52a,Q134380404,Q134380404
sat:poi:ecgfg,Q133864593,Q133864593
sat:poi:ef9bz,Q10417838,Q10417838
sat:poi:ehnwp,Q135267113,Q135267113
sat:poi:ej4zw,Q134881286,Q134881286
sat:poi:ejt9h,Q134531012,Q134531012
sat:poi:ekzkg,Q134580057,Q134580057
sat:poi:embmb,Q134583669,Q134583669
sat:poi:esdwr,Q134176668,Q134176668
sat:poi:f4naz,Q134373707,Q134373707
sat:poi:f8bsx,Q134443760,Q134443760
sat:poi:f9aej,Q135428249,Q135428249
sat:poi:fbetp,Q134463083,Q134463083
sat:poi:fe88s,Q2530171,Q2530171
sat:poi:ff4gr,Q135011443,Q135011443
sat:poi:fgfa4,,Q18291743
sat:poi:fhn5g,Q135437122,Q135437122
sat:poi:fhvww,Q10397095,Q10397095
sat:poi:fmwme,Q135114682,Q135114682
sat:poi:fntbb,Q135267910,Q135267910
sat:poi:fped9,Q135153043,Q135153043
sat:poi:fqxgk,Q121433242,Q121433242
sat:poi:ftdh5,Q134529240,Q134529240
sat:poi:fv97k,Q135107242,Q135107242
sat:poi:fwaj8,Q136207068,Q136207068
sat:poi:fwfmy,Q134721339,Q134721339
sat:poi:fwpgg,Q121433209,Q121433209
sat:poi:fzzma,Q134983588,Q134983588
sat:poi:fzzma,Q699873,Q134983588
sat:poi:g3k29,Q134717347,
sat:poi:g4zk2,Q134895185,Q134895185
sat:poi:g565e,Q133864285,Q133864285
sat:poi:g5xf7,Q135011988,Q135011988
sat:poi:g88w5,Q134692717,
sat:poi:gc95d,Q134312278,Q134312278
sat:poi:gfyya,,Q32904803
sat:poi:ght3f,Q133980758,Q133980758
sat:poi:gjaxf,Q140389015,Q140389015
sat:poi:gn35x,Q135109946,Q135109946
sat:poi:gq3qn,Q133459454,Q133459454
sat:poi:gtd3p,Q134580862,Q134580862
sat:poi:gvh9x,Q135971987,Q135971987
sat:poi:gxfc3,Q135107443,Q135107443
sat:poi:gysy6,,Q133812569
sat:poi:h4ben,Q139988494,Q139988494
sat:poi:h584q,Q135901204,Q135901204
sat:poi:h5y4c,Q121754355,Q121754355
sat:poi:h78ed,,Q121754355
sat:poi:h9rbs,Q135102475,Q135102475
sat:poi:hdy4g,Q134444827,Q134444827
sat:poi:hf5wd,Q140621316,Q140621316
sat:poi:hfham,Q135428282,Q135428282
sat:poi:hpy7b,,Q130338821
sat:poi:jbdd6,Q32904803,Q32904803
sat:poi:jg4w4,Q134523918,Q134523918
sat:poi:jr83r,Q106680381,Q106680381
sat:poi:jtevx,Q33190920,Q33190920
sat:poi:jwkmw,Q134734528,Q134734528
sat:poi:k39nr,Q134710931,Q134710931
sat:poi:kbbxc,Q133872120,Q133872120
sat:poi:kbxxd,Q140442199,Q140442199
sat:poi:kbxxd,Q842877,Q140442199
sat:poi:kg3cy,Q134688729,Q134688729
sat:poi:kkevg,Q134717362,
sat:poi:kqfbg,Q133812552,Q133812552
sat:poi:kw8nt,Q135003463,Q135003463
sat:poi:kwxxh,Q133840790,Q133840790
sat:poi:kzfw6,Q134581015,Q134581015
sat:poi:kztar,Q134445091,Q134445091
sat:poi:m438y,,Q134527248
sat:poi:m7fxz,Q10553968,Q10553968
sat:poi:ma2dr,Q133993942,Q133993942
sat:poi:mayra,Q134572952,Q134572952
sat:poi:mhj78,Q133847886,Q133847886
sat:poi:mrrfw,Q134776113,Q134776113
sat:poi:mt8et,Q134705659,Q134705659
sat:poi:mxxwb,Q134607783,
sat:poi:n47kg,Q135268016,
sat:poi:n5d79,Q134007891,Q134007891
sat:poi:n6mfb,Q134006996,Q134006996
sat:poi:n83ax,Q133884655,Q133884655
sat:poi:n8zg9,Q136193620,Q136193620
sat:poi:nc8x6,Q134580947,Q134580947
sat:poi:nd8fv,Q134580717,Q134580717
sat:poi:ndc3n,Q121361588,Q121361588
sat:poi:nhheb,Q135110019,Q135110019
sat:poi:njv5p,Q10605049,Q10605049
sat:poi:nmey8,Q63615597,Q63615597
sat:poi:nsjj5,Q134985579,
sat:poi:nvh64,Q135197156,
sat:poi:p8c9k,Q135027143,Q135027143
sat:poi:pbx3k,Q134462751,Q134462751
sat:poi:pgvnq,Q133883699,Q133883699
sat:poi:phs5t,Q136750240,Q136750240
sat:poi:pja4r,Q135443020,Q135443020
sat:poi:ppbec,Q139629431,Q139629431
sat:poi:ptr6q,Q140561544,Q140561544
sat:poi:pvz9y,Q135110110,Q135110110
sat:poi:pvz9y,Q136337450,Q135110110
sat:poi:q5t53,Q135027417,Q135027417
sat:poi:qannr,Q130338821,Q130338821
sat:poi:qgbc4,Q135107155,Q135107155
sat:poi:qzys6,Q139624999,Q139624999
sat:poi:r258p,Q133850783,Q133850783
sat:poi:r2q53,Q133895106,Q133895106
sat:poi:rcx5k,Q107290890,
sat:poi:rfcyg,Q135024167,Q135024167
sat:poi:rjyg9,Q135011579,
sat:poi:rnhd3,Q135972088,Q135972088
sat:poi:rpq5x,Q134311974,Q134311974
sat:poi:rxv5b,Q134176709,Q134176709
sat:poi:s4wt8,Q134589221,Q134589221
sat:poi:s57r5,Q136433169,Q136433169
sat:poi:s7h5m,Q135153361,Q135153361
sat:poi:s8wye,Q134442339,Q134442339
sat:poi:s95g7,Q133829368,Q133829368
sat:poi:sf2xa,Q10611874,Q10611874
sat:poi:sfedf,Q134895563,Q134895563
sat:poi:sfvgj,Q135414637,Q135414637
sat:poi:sj4sa,Q135423626,Q135423626
sat:poi:sjg5a,Q133839829,Q133839829
sat:poi:sjwtd,Q140053969,Q140053969
sat:poi:sk9xr,Q135268035,Q135268035
sat:poi:spg8j,Q140627972,
sat:poi:szg6p,Q63345339,Q63345339
sat:poi:szj7b,Q28934474,Q28934474
sat:poi:t5tb5,Q134676671,Q134676671
sat:poi:t5tq8,Q133848174,Q133848174
sat:poi:t6rmc,Q121361560,Q121361560
sat:poi:t6xyk,Q136342734,Q136342734
sat:poi:tadtz,Q134369418,Q134369418
sat:poi:tjc9x,Q134606657,Q134606657
sat:poi:tjg85,Q140263571,Q140263571
sat:poi:tjmkq,Q134527248,Q134527248
sat:poi:ts37b,Q134539208,Q134539208
sat:poi:ts37b,Q134539208,Q134727862
sat:poi:ts37b,Q134727862,Q134539208
sat:poi:ts37b,Q134727862,Q134727862
sat:poi:tthde,Q134529043,Q134529043
sat:poi:v2vea,Q135230746,
sat:poi:v57nn,Q133366565,Q133366565
sat:poi:v8ygk,Q135226572,Q135226572
sat:poi:vst38,Q133825195,Q133825195
sat:poi:vx26z,Q10593490,Q10593490
sat:poi:vxav8,Q133502889,Q133502889
sat:poi:vy4kk,Q133863310,Q133863310
sat:poi:vzx7f,Q134889150,Q134889150
sat:poi:w2cd9,Q133886133,Q133886133
sat:poi:w3rmg,Q134461930,Q134461930
sat:poi:w4ahh,Q121715058,
sat:poi:w4jmw,Q133864055,Q133864055
sat:poi:wc6hp,Q136434518,Q136434518
sat:poi:wcat5,Q135900415,Q135900415
sat:poi:wftpd,Q135415254,Q135415254
sat:poi:wftpd,Q136198334,Q135415254
sat:poi:wgqpn,Q15695240,Q15695240
sat:poi:wn923,Q140307691,Q140307691
sat:poi:wteat,,Q135336466
sat:poi:wyr7b,Q134777419,Q134777419
sat:poi:wzwgn,Q134451025,Q134451025
sat:poi:x2z6r,Q135153270,Q135153270
sat:poi:x2z6r,Q135153270,Q140408502
sat:poi:x3vvp,Q134311495,Q134311495
sat:poi:x5n34,Q134711795,Q134711795
sat:poi:xbfe6,Q135152513,Q135152513
sat:poi:xczb8,Q134872014,Q134872014
sat:poi:xdvsc,Q140628586,
sat:poi:xh547,Q134587349,Q134587349
sat:poi:xhjt5,Q134693218,Q134693218
sat:poi:xmt79,Q133863715,Q133863715
sat:poi:xq55x,Q134611499,Q134611499
sat:poi:xswmg,Q133994022,Q133994022
sat:poi:xzp8m,Q133864303,Q133864303
sat:poi:y2cyg,Q133829736,Q133829736
sat:poi:y4e84,Q133885312,Q133885312
sat:poi:y4ec9,Q135416156,Q135416156
sat:poi:y6t5d,,Q121715058
sat:poi:ya8zc,Q134953620,Q134953620
sat:poi:yb796,Q134529993,Q134529993
sat:poi:ybc97,Q133812569,
sat:poi:ybc97,Q135110316,
sat:poi:yfgph,Q56301720,Q56301720
sat:poi:ygvn4,Q134688746,Q134688746
sat:poi:yjaxe,Q133830267,Q133830267
sat:poi:ym7a6,Q134727614,Q134727614
sat:poi:yq34f,Q114039794,Q114039794
sat:poi:ys3ma,Q18291743,Q18291743
sat:poi:ysez3,Q106653509,Q106653509
sat:poi:yz9hq,Q133829773,Q133829773
sat:poi:yzwse,Q1821451,Q1821451
sat:poi:z4mbp,Q136087206,Q136087206
sat:poi:z4xn4,Q134572369,Q134572369
sat:poi:zba29,Q134873163,Q134873163
sat:poi:zkdpn,Q133812682,Q133812682
sat:poi:zmh6w,Q135267999,
sat:poi:zqc6r,Q134692920,Q134692920
sat:poi:zqc6r,Q135040652,Q134692920
sat:poi:zqc9j,Q140393214,Q140393214
sat:poi:zxxhc,Q135197036,
sat:section:2fxg6,,Q1546959
sat:section:2fxg6,,Q133502246
sat:section:33r32,,Q56804997
sat:section:33r32,,Q133724234
sat:section:3hz5y,,Q1759193
sat:section:3hz5y,,Q133724236
sat:section:3zc33,,Q10561414
sat:section:5cg25,,Q3105747
sat:section:5cg25,,Q48890062
sat:section:5cg25,,Q133724246
sat:section:6agsx,,Q294787
sat:section:6agsx,,Q1480015
sat:section:6agsx,,Q133449160
sat:section:72x3g,,Q3355818
sat:section:72x3g,,Q133724249
sat:section:7nggg,,Q5245979
sat:section:7nggg,,Q133724247
sat:section:b49zp,,Q2120552
sat:section:b49zp,,Q133724252
sat:section:cp9g9,,Q2837232
sat:section:cp9g9,,Q46946584
sat:section:cp9g9,,Q133724255
sat:section:fhf88,,Q10726505
sat:section:fhf88,,Q133374185
sat:section:fhf88,,Q133724232
sat:section:jzby6,,Q6976731
sat:section:jzby6,,Q133724239
sat:section:nhy68,,Q3772710
sat:section:nhy68,,Q133374147
sat:section:npbr9,,Q56780332
sat:section:npbr9,,Q133724237
sat:section:phb3z,,Q133554956
sat:section:qwgxa,,Q6976423
sat:section:qwgxa,,Q133724250
sat:section:rp7pt,,Q10605513
sat:section:rp7pt,,Q133724230
sat:section:sqqy9,,Q10658747
sat:section:sqqy9,,Q133724231
sat:section:t3kx7,,Q842877
sat:section:t3kx7,,Q133724254
sat:section:vpdx4,,Q10436177
sat:section:vpdx4,,Q133724240
sat:vessel:3kjzv,,Q10573162
sat:vessel:4agqh,,Q10573052
sat:vessel:4x39x,,Q10684595
sat:vessel:5dh3f,,Q134550614
sat:vessel:5xrhm,,Q10573151
sat:vessel:7awvt,,Q10573203
sat:vessel:7bj23,,Q10659318
sat:vessel:aws8m,,Q64548778
sat:vessel:e99jw,,Q63384746
sat:vessel:gg8gw,,Q10667918
sat:vessel:jgnhb,,Q20205108
sat:vessel:rgcmv,,Q31895770
sat:vessel:sgwt5,,Q10573200
sat:vessel:tsvh9,,Q10659340
sat:vessel:vn92p,,Q10573127
sat:vessel:wmf8m,,Q10573144
sat:vessel:x4hte,,Q31885478
sat:vessel:zzm4n,,Q64362244
