item,itemLabel,coord,img,website,lat,lon
http://www.wikidata.org/entity/Q134082735,Östemar grillplats nya,Point(18.137387 58.887157),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20%C3%96stemar%20grillplats%20SAT.jpg,,58.887157,18.137387
http://www.wikidata.org/entity/Q134290283,"Furusundsbadplats, grillplats",Point(18.902344 59.661464),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Furusund%20Furusundsbadplats%2C%20grillplats.jpg,,59.661464,18.902344
http://www.wikidata.org/entity/Q134373707,Yxlö brygga grillplats,Point(18.864058 59.632099),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplats%20Yxl%C3%B6%20brygga.jpg,,59.632099,18.864058
http://www.wikidata.org/entity/Q134461524,Idholmens grillplats,Point(18.807794 59.482883),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Finnhamn%202025%20april%20grillplats%20ny%202025.jpg,,59.482883,18.807794
http://www.wikidata.org/entity/Q134519257,Nåttarö vandrarhem grillplats,Point(18.134411 58.885691),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20%28227%29.jpg,,58.885691,18.134411
http://www.wikidata.org/entity/Q134537879,"Vänsvik udd, Nåttarö grillplats",Point(18.131126 58.866529),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20V%C3%A4nviks%20udd%20%282%29.jpg,,58.866529,18.131126
http://www.wikidata.org/entity/Q134570185,Norr Storsand grillplats,Point(18.135786 58.877736),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20SAT%20Storsand.jpg,,58.877736,18.135786
http://www.wikidata.org/entity/Q134570492,Nåttarö västra campingen grillplats,Point(18.106936 58.876961),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats.jpg,https://grillplatser.nu/Grillplats/Visa/Nattara-vastra-camping,58.876961,18.106936
http://www.wikidata.org/entity/Q134578274,Storsand grillplats 1,Point(18.133114 58.876015),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20grillplats%20Storsand%20%284%29.jpg,,58.876015,18.133114
http://www.wikidata.org/entity/Q134578337,Grillplats Storsand,Point(18.133729 58.877121),http://commons.wikimedia.org/wiki/Special:FilePath/SATN%C3%A5ttar%C3%B6%202025%20april%20Storsand%20grillplats%203.jpg,,58.877121,18.133729
