item,itemLabel,OSMnode,coord,img,trail,trailLabel,lengthkm,officiellWebswe,officiellWeben,lat,lon
http://www.wikidata.org/entity/Q135883737,Grillplats Nordvästra Nåttarö vid Naturhamnen,13076091033,Point(18.136926 58.888145),http://commons.wikimedia.org/wiki/Special:FilePath/Norra%20N%C3%A5ttar%C3%B6%2020250801%2002.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.888145,18.136926
http://www.wikidata.org/entity/Q136374336,Skarsand norra grillplats,13037363260,Point(18.1380158 58.8845147),http://commons.wikimedia.org/wiki/Special:FilePath/Skarsand%20grillplats%2004.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.8845147,18.1380158
http://www.wikidata.org/entity/Q136374419,Skarsand enkel grillplats,13037391403,Point(18.1387245 58.8845847),http://commons.wikimedia.org/wiki/Special:FilePath/Skarsand%20grillplats%2003.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.8845847,18.1387245
http://www.wikidata.org/entity/Q136374558,Skarsand norra 2,9981328487,Point(18.139575 58.884615),http://commons.wikimedia.org/wiki/Special:FilePath/Skarsand%20grillplats%2001.jpg,http://www.wikidata.org/entity/Q133724230,SAT Nåttarö,10.3,https://stockholmarchipelagotrail.com/sv/section/etapp-nattaro,https://stockholmarchipelagotrail.com/section/section-nattaro,58.884615,18.139575
http://www.wikidata.org/entity/Q133864622,Knicksand enkel grillplats,12722789033,Point(18.165775 58.917568),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20R%C3%A5n%C3%B6%20vandring%202025%20april%2003.jpg,http://www.wikidata.org/entity/Q133724231,SAT Rånö,12,https://stockholmarchipelagotrail.com/sv/section/etapp-rano,https://stockholmarchipelagotrail.com/section/section-rano,58.917568,18.165775
http://www.wikidata.org/entity/Q133864761,Knicksand grillplats,12722761765,Point(18.165038 58.917789),http://commons.wikimedia.org/wiki/Special:FilePath/Knicksand-grillplats-1.jpg,http://www.wikidata.org/entity/Q133724231,SAT Rånö,12,https://stockholmarchipelagotrail.com/sv/section/etapp-rano,https://stockholmarchipelagotrail.com/section/section-rano,58.917789,18.165038
http://www.wikidata.org/entity/Q133864801,Knicksand grillplats,12722789034,Point(18.165444 58.917563),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplats-Knicksand-Rano-vid-badplatsen.jpg,http://www.wikidata.org/entity/Q133724231,SAT Rånö,12,https://stockholmarchipelagotrail.com/sv/section/etapp-rano,https://stockholmarchipelagotrail.com/section/section-rano,58.917563,18.165444
http://www.wikidata.org/entity/Q133864540,"Harviken, grillplats",12723107960,Point(18.169296 58.929023),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20R%C3%A5n%C3%B6%202025%20april%2002.jpg,http://www.wikidata.org/entity/Q133724231,SAT Rånö,12,https://stockholmarchipelagotrail.com/sv/section/etapp-rano,https://stockholmarchipelagotrail.com/section/section-rano,58.929023,18.169296
http://www.wikidata.org/entity/Q130338597,"Norra sand, Utö, grillplats",12190259938,Point(18.33929 58.974527),http://commons.wikimedia.org/wiki/Special:FilePath/Norra%20sand%2C%20Ut%C3%B6%2C%20grillplats%2002.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.974527,18.33929
http://www.wikidata.org/entity/Q130338761,"Norra sand, Utö, grillplats 2",5866457027,Point(18.338636 58.974511),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%20vandring%20202508006%2003.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.974511,18.338636
http://www.wikidata.org/entity/Q133838591,"Utö gästhamn, grillplats",12739706860,Point(18.319328 58.968136),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2033.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.968136,18.319328
http://www.wikidata.org/entity/Q133839813,"Södra fladen Utö, grillplats",12740326707,Point(18.286372 58.951668),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2081.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.951668,18.286372
http://www.wikidata.org/entity/Q133839829,"Södra fladen Utö, vindskydd",12740326708,Point(18.286318 58.951733),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2081.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.951733,18.286318
http://www.wikidata.org/entity/Q133840790,Utö camping grillplats 1,12740398797,Point(18.31749 58.965898),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2042.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.965898,18.31749
http://www.wikidata.org/entity/Q133841438,Utö camping grillplats 3,12740540028,Point(18.318591 58.966737),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2037.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.966737,18.318591
http://www.wikidata.org/entity/Q133841778,Utö camping grillplats,12740540028,Point(18.318591 58.966737),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2040.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.966737,18.318591
http://www.wikidata.org/entity/Q134606902,"Södra fladen Utö, grillplats 2",12740326710,Point(18.286458 58.951705),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2081.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.951705,18.286458
http://www.wikidata.org/entity/Q134606948,"Södra fladens vindskydd 2, Utö",12740326709,Point(18.286388 58.951767),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Ut%C3%B6%202025%20april%2081.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.951767,18.286388
http://www.wikidata.org/entity/Q135905118,Södra Sandvik Utö grillplats,13081270868,Point(18.359262 58.97001),http://commons.wikimedia.org/wiki/Special:FilePath/Vandring%20SAT%20Ut%C3%B6%2020250816%20batch%2019.jpg,http://www.wikidata.org/entity/Q133724234,SAT Utö,16.7,https://stockholmarchipelagotrail.com/sv/section/etapp-uto-sv,https://stockholmarchipelagotrail.com/section/uto,58.97001,18.359262
http://www.wikidata.org/entity/Q121352030,"Grillplats, Storsand Ålö",1412263113,Point(18.21923 58.90943),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20%C3%85l%C3%B6%20vandring%202025%20april%2053%20grillplats%20Storsand.jpg,http://www.wikidata.org/entity/Q133724232,SAT Ålö,12.4,https://stockholmarchipelagotrail.com/sv/section/etapp-alo,https://stockholmarchipelagotrail.com/section/section-alo,58.90943,18.21923
http://www.wikidata.org/entity/Q133834915,"Grillplats, Storsand Ålö",12738304627,Point(18.218236 58.909186),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20%C3%85l%C3%B6%20vandring%202025%20april%2052%20grillplats%20Storsand.jpg,http://www.wikidata.org/entity/Q133724232,SAT Ålö,12.4,https://stockholmarchipelagotrail.com/sv/section/etapp-alo,https://stockholmarchipelagotrail.com/section/section-alo,58.909186,18.218236
http://www.wikidata.org/entity/Q136363283,Södra Storsand Ålö grillplats,12738887791,Point(18.217614 58.908328),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20%C3%85l%C3%B6%20vandring%202025%20april%2049%20grillplats%20Storsand.jpg,http://www.wikidata.org/entity/Q133724232,SAT Ålö,12.4,https://stockholmarchipelagotrail.com/sv/section/etapp-alo,https://stockholmarchipelagotrail.com/section/section-alo,58.908328,18.217614
http://www.wikidata.org/entity/Q136087206,"Bistro bryggan, grillplats",13063609062,Point(18.695871 59.446505),http://commons.wikimedia.org/wiki/Special:FilePath/Bistro%20S%C3%A5gen%20grillplats%2001.jpg,http://www.wikidata.org/entity/Q133724239,SAT Svartsö,17.9,https://stockholmarchipelagotrail.com/sv/section/etapp-svartso,https://stockholmarchipelagotrail.com/section/section-svartso,59.446505,18.695871
http://www.wikidata.org/entity/Q133848185,"grillplats, Ornö museum",12744311542,Point(18.4305319 59.050773),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplats%20Kyrkviken%20Orn%C3%B6%20museum.jpg,http://www.wikidata.org/entity/Q133724236,SAT Ornö,34.1,https://stockholmarchipelagotrail.com/sv/section/etapp-orno,https://stockholmarchipelagotrail.com/section/section-orno,59.050773,18.4305319
http://www.wikidata.org/entity/Q133848857,"Västanviks grillplats, Ornö",12745161549,Point(18.419786 59.059787),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Orn%C3%B6%202025%20april%20grillplats%20V%C3%A4stanvik.jpg,http://www.wikidata.org/entity/Q133724236,SAT Ornö,34.1,https://stockholmarchipelagotrail.com/sv/section/etapp-orno,https://stockholmarchipelagotrail.com/section/section-orno,59.059787,18.419786
http://www.wikidata.org/entity/Q133993440,"Fjärdlång bryggan, grillplats",12770512759,Point(18.511983 59.035715),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Fj%C3%A4rdl%C3%A5ng%20grillplats%20bryggan.jpg,http://www.wikidata.org/entity/Q133724237,SAT Fjärdlång,11.7,https://stockholmarchipelagotrail.com/sv/section/etapp-fjardlang,https://stockholmarchipelagotrail.com/section/section-fjardlang,59.035715,18.511983
http://www.wikidata.org/entity/Q134005778,"Thielska villan, grillplats, Fjärdlång",12771043917,Point(18.517191 59.036678),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Fj%C3%A4rdl%C3%A5ng%202025%20april%20Thielska%20villan%20grillplats.jpg,http://www.wikidata.org/entity/Q133724237,SAT Fjärdlång,11.7,https://stockholmarchipelagotrail.com/sv/section/etapp-fjardlang,https://stockholmarchipelagotrail.com/section/section-fjardlang,59.036678,18.517191
http://www.wikidata.org/entity/Q134006267,"Fjärdlång tältplats, grillplats",12769968654,Point(18.5160081 59.0378705),http://commons.wikimedia.org/wiki/Special:FilePath/SAT%20Fj%C3%A4rdl%C3%A5ng%202025%20april%20T%C3%A4ltplats%20-%20grillplats.jpg,http://www.wikidata.org/entity/Q133724237,SAT Fjärdlång,11.7,https://stockholmarchipelagotrail.com/sv/section/etapp-fjardlang,https://stockholmarchipelagotrail.com/section/section-fjardlang,59.0378705,18.5160081
http://www.wikidata.org/entity/Q134582361,Noret Fjärdlång grillplats,12770338575,Point(18.520431 59.031514),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplatsen-Noret.jpg,http://www.wikidata.org/entity/Q133724237,SAT Fjärdlång,11.7,https://stockholmarchipelagotrail.com/sv/section/etapp-fjardlang,https://stockholmarchipelagotrail.com/section/section-fjardlang,59.031514,18.520431
http://www.wikidata.org/entity/Q121754355,"Kålgårdsöns naturreservat, grillplats",5856137370,Point(18.79523 59.47928),http://commons.wikimedia.org/wiki/Special:FilePath/Q121754355.jpg,http://www.wikidata.org/entity/Q133724247,SAT Ingmarsö,9.1,https://stockholmarchipelagotrail.com/sv/section/etapp-ingmarso,https://stockholmarchipelagotrail.com/section/section-ingmarso,59.47928,18.79523
http://www.wikidata.org/entity/Q134373707,Yxlö brygga grillplats,12814390356,Point(18.864058 59.632099),http://commons.wikimedia.org/wiki/Special:FilePath/Grillplats%20Yxl%C3%B6%20brygga.jpg,http://www.wikidata.org/entity/Q133724250,SAT Yxlan,24,https://stockholmarchipelagotrail.com/sv/section/etapp-yxlan,https://stockholmarchipelagotrail.com/section/section-yxlan,59.632099,18.864058
