TYP,UNDERTYP,SKYDDSTYP_KOD,count
Ramp,Ramp,"N2000-SPA, NR",1
Rastplats,Bord,"N2000-SCI, NP",1
Rastplats,Bänk ,"DVO, N2000-SPA/SCI, NR",1
Rastplats,Bänk ,"N2000-SPA/SCI, NR, NVO",1
Parkering,Parkering,"NM, NR, NR",1
Rastplats,Bänk ,"N2000-SCI, N2000-SPA, NR",1
Rastplats,Bänkbord,"N2000-SCI, NR, NR",1
Rastplats,Bänk ,"N2000-SPA/SCI, NVO",1
Café,Café,"N2000-SCI, NR",1
Sopstation,Sopstation,"DVO, N2000-SPA/SCI, NR",1
Brygga,Brygga,NVO,1
Bro,Bro,NM,1
Rastplats,Bänkbord,"N2000-SPA/SCI, NVO",1
Bro,Bro,NVO,1
Bro,Hängbro,"N2000-SCI, NR",1
Dass,Dass,OBO,1
Bro,Hängbro,NVO,1
Brygga,Brygga,"N2000-SPA/SCI, NP",1
Bussparkering,Bussparkering,"N2000-SCI, NP",1
Information,Platsinformation,"NM, NR",1
Bussparkering,Bussparkering,"N2000-SPA, NR",1
Bussparkering,Bussparkering,"NR, NR",1
Café,Café,"N2000-SPA/SCI, NP",1
Café,Café,"N2000-SPA/SCI, NR",1
Dass,Dass,"DVO, N2000-SPA",1
Dass,Dass,"N2000-SCI, NM, NR",1
Information,Platsinformation,"N2000-SPA, N2000-SPA/SCI, N2000-SPA/SCI, N2000-SPA/SCI, NR, NR, NR, NR",1
Rastplats,Bänkbord,"N2000-SPA, NVO",1
Laddningsstation för elbilar,Laddningsstation för elbilar,"DVO, NR",1
Rastplats,Bänkbord,"NP, NR",1
Rastplats,Bänkbord,"NR, NVO",1
Livboj,Livboj,"N2000-SCI, N2000-SPA, NR",1
Livboj,Livboj,NP,1
Parkering,Parkering,"N2000-SPA/SCI, NM, NR",1
Naturum,Naturum,"N2000-SPA/SCI, NP",1
Naturum,Naturum,"N2000-SPA/SCI, NR",1
Observationsplattform,Observationsplattform,"N2000-SCI, N2000-SPA, NR",1
Observationsplattform,Observationsplattform,"N2000-SCI, N2000-SPA, NR, NR",1
Observationsplattform,Observationsplattform,"N2000-SPA, NR, NVO",1
Observationsplattform,Observationsplattform,NVO,1
Parkering,Parkering,"DVO, N2000-SPA/SCI, NR",1
Parkering,Parkering,"N2000-SCI, N2000-SPA/SCI, NP",1
Parkering,Parkering,"N2000-SCI, NM, NR",1
Parkering,Parkering,"N2000-SCI, NR, NR, NR",1
Parkering,Parkering,"N2000-SPA, NVO",1
Bro,Bro,DVO,1
Livboj,Livboj,<NULL>,1
Lekplats,Lekplats,"N2000-SPA, NR",1
Lekplats,Lekplats,"N2000-SCI, NP",1
Parkering,Parkering,"N2000-SPA/SCI, NVO",1
Rastskydd,Rastskydd,N2000-SPA/SCI,1
Raststuga,Raststuga,"N2000-SCI, NP",1
Raststuga,Raststuga,"NR, NR",1
Raststuga,Raststuga,OBO,1
Servicebyggnad,Servicebyggnad,NP,1
