OBJECTID,ANORDNING_ID,ANORDNINGNAMN,TYP,UNDERTYP,BESKRIVNING,NP,GEOMETRIKVALITET,SKYDDSTYP_KOD,SKYDDATOMRADE,SKYDDATOMRADE_ID,STATLIGLED,STATLIGLED_ID,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
33771982,30486097,Rastbord Tegen,Rastplats,Bord,,0,<= 20 meter,NR,Tegen (2044390),2044390,,,59.2888328,12.1870046,https://www.openstreetmap.org/?mlat=59.2888328&mlon=12.1870046#map=18/59.2888328/12.1870046,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2888328,12.1870046););out center;"
33783473,30486085,,Rastplats,Bänk ,,0,<= 20 meter,NR,Mellanljusnan (2026210),2026210,,,61.9341225,15.5583774,https://www.openstreetmap.org/?mlat=61.9341225&mlon=15.5583774#map=18/61.9341225/15.5583774,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,61.9341225,15.5583774););out center;"
33772771,30486081,,Rastplats,Bänk ,,0,<= 20 meter,NR,Mellanljusnan (2026210),2026210,,,61.8263103,15.7792605,https://www.openstreetmap.org/?mlat=61.8263103&mlon=15.7792605#map=18/61.8263103/15.7792605,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,61.8263103,15.7792605););out center;"
33783950,30485901,,Rastplats,Bänk ,,0,Okänd noggrannhet,NR,Flotthöljan (2000474),2000474,,,62.117346,16.1938766,https://www.openstreetmap.org/?mlat=62.117346&mlon=16.1938766#map=18/62.117346/16.1938766,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,62.117346,16.1938766););out center;"
33776669,30485830,,Eldstad,Eldstad,,0,<= 20 meter,NR,Skallberget (2029589),2029589,,,63.4973298,18.9391959,https://www.openstreetmap.org/?mlat=63.4973298&mlon=18.9391959#map=18/63.4973298/18.9391959,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.4973298,18.9391959););out center;"
33790791,30485687,,Rastplats,Bänkbord,,0,<= 20 meter,NR,Brotorpet (2020128),2020128,,,56.2964069,14.3924405,https://www.openstreetmap.org/?mlat=56.2964069&mlon=14.3924405#map=18/56.2964069/14.3924405,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2964069,14.3924405););out center;"
33790787,30485684,,Eldstad,Eldstad,,0,<= 20 meter,NR,Brotorpet (2020128),2020128,,,56.2963849,14.3922557,https://www.openstreetmap.org/?mlat=56.2963849&mlon=14.3922557#map=18/56.2963849/14.3922557,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2963849,14.3922557););out center;"
33790786,30485682,,Eldstad,Eldstad,,0,<= 20 meter,NR,Brotorpet (2020128),2020128,,,56.296481,14.3923932,https://www.openstreetmap.org/?mlat=56.296481&mlon=14.3923932#map=18/56.296481/14.3923932,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.296481,14.3923932););out center;"
33790785,30485681,,Eldstad,Eldstad,,0,<= 20 meter,NR,Brotorpet (2020128),2020128,,,56.2973355,14.3918127,https://www.openstreetmap.org/?mlat=56.2973355&mlon=14.3918127#map=18/56.2973355/14.3918127,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2973355,14.3918127););out center;"
33790867,30485677,,Vindskydd,Vindskydd,,0,<= 20 meter,NR,Brotorpet (2020128),2020128,,,56.2973873,14.3918096,https://www.openstreetmap.org/?mlat=56.2973873&mlon=14.3918096#map=18/56.2973873/14.3918096,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2973873,14.3918096););out center;"
