OBJECTID,GEOMETRIKVALITET,LED_ID,LEDNAMN,BESKRIVNING,LEDMARKERING,LEDTYP,LEDKATEGORI,STATLIGLED,STATLIGLED_ID,SKYDDATOMRADE,SKYDDATOMRADE_ID,LEDLANGD,SHAPE.LEN,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
12344873,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,3.47450185350361,59.2337581,18.7205017,https://www.openstreetmap.org/?mlat=59.2337581&mlon=18.7205017#map=18/59.2337581/18.7205017,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2337581,18.7205017););out center;"
12344872,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,6.81779939349934,59.233814,18.7203998,https://www.openstreetmap.org/?mlat=59.233814&mlon=18.7203998#map=18/59.233814/18.7203998,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.233814,18.7203998););out center;"
12344871,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,23.7865826160908,59.2336048,18.7204538,https://www.openstreetmap.org/?mlat=59.2336048&mlon=18.7204538#map=18/59.2336048/18.7204538,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2336048,18.7204538););out center;"
12344870,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,8.55139804827257,59.2333958,18.7200752,https://www.openstreetmap.org/?mlat=59.2333958&mlon=18.7200752#map=18/59.2333958/18.7200752,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2333958,18.7200752););out center;"
12344869,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,17.6078152039905,59.2337679,18.7205101,https://www.openstreetmap.org/?mlat=59.2337679&mlon=18.7205101#map=18/59.2337679/18.7205101,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2337679,18.7205101););out center;"
12344868,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,0.853393748512373,59.2334653,18.7203281,https://www.openstreetmap.org/?mlat=59.2334653&mlon=18.7203281#map=18/59.2334653/18.7203281,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334653,18.7203281););out center;"
12344867,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,101.463532386817,59.2334959,18.7193949,https://www.openstreetmap.org/?mlat=59.2334959&mlon=18.7193949#map=18/59.2334959/18.7193949,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334959,18.7193949););out center;"
12344866,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,3.05151507451626,59.2337311,18.7205087,https://www.openstreetmap.org/?mlat=59.2337311&mlon=18.7205087#map=18/59.2337311/18.7205087,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2337311,18.7205087););out center;"
12344865,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,23.5640548654089,59.2334321,18.7202072,https://www.openstreetmap.org/?mlat=59.2334321&mlon=18.7202072#map=18/59.2334321/18.7202072,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334321,18.7202072););out center;"
12344864,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,8.90028716830678,59.2334472,18.7204207,https://www.openstreetmap.org/?mlat=59.2334472&mlon=18.7204207#map=18/59.2334472/18.7204207,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334472,18.7204207););out center;"
12344863,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,9.13989570227278,59.2334057,18.7201695,https://www.openstreetmap.org/?mlat=59.2334057&mlon=18.7201695#map=18/59.2334057/18.7201695,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334057,18.7201695););out center;"
12344862,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,2.70445366941273,59.2334658,18.7203298,https://www.openstreetmap.org/?mlat=59.2334658&mlon=18.7203298#map=18/59.2334658/18.7203298,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334658,18.7203298););out center;"
12344861,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,1.05668670284751,59.2334737,18.7203326,https://www.openstreetmap.org/?mlat=59.2334737&mlon=18.7203326#map=18/59.2334737/18.7203326,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334737,18.7203326););out center;"
12344860,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,0.308032235927139,59.2337595,18.7205011,https://www.openstreetmap.org/?mlat=59.2337595&mlon=18.7205011#map=18/59.2337595/18.7205011,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2337595,18.7205011););out center;"
12344735,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,2.38768694137234,59.2334874,18.7204084,https://www.openstreetmap.org/?mlat=59.2334874&mlon=18.7204084#map=18/59.2334874/18.7204084,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334874,18.7204084););out center;"
12344734,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,6.40851479662538,59.2333568,18.7198821,https://www.openstreetmap.org/?mlat=59.2333568&mlon=18.7198821#map=18/59.2333568/18.7198821,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2333568,18.7198821););out center;"
12344733,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,745.613660383772,59.2367363,18.7203413,https://www.openstreetmap.org/?mlat=59.2367363&mlon=18.7203413#map=18/59.2367363/18.7203413,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2367363,18.7203413););out center;"
12344732,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,3.95894640655819,59.2334729,18.7203304,https://www.openstreetmap.org/?mlat=59.2334729&mlon=18.7203304#map=18/59.2334729/18.7203304,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334729,18.7203304););out center;"
12344731,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,3.38547696196563,59.2334653,18.7203281,https://www.openstreetmap.org/?mlat=59.2334653&mlon=18.7203281#map=18/59.2334653/18.7203281,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334653,18.7203281););out center;"
12344730,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,6.2006088233334,59.2335476,18.7204642,https://www.openstreetmap.org/?mlat=59.2335476&mlon=18.7204642#map=18/59.2335476/18.7204642,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2335476,18.7204642););out center;"
12344729,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,23.7093376778011,59.233814,18.7203998,https://www.openstreetmap.org/?mlat=59.233814&mlon=18.7203998#map=18/59.233814/18.7203998,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.233814,18.7203998););out center;"
12344728,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,6.40321315747024,59.2333985,18.719736,https://www.openstreetmap.org/?mlat=59.2333985&mlon=18.719736#map=18/59.2333985/18.719736,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2333985,18.719736););out center;"
12344727,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,1.68579469983744,59.2337582,18.7205015,https://www.openstreetmap.org/?mlat=59.2337582&mlon=18.7205015#map=18/59.2337582/18.7205015,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2337582,18.7205015););out center;"
12344726,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,4.4501691473471,59.2334321,18.7202072,https://www.openstreetmap.org/?mlat=59.2334321&mlon=18.7202072#map=18/59.2334321/18.7202072,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2334321,18.7202072););out center;"
12344725,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,449.263561176906,59.2351818,18.722081,https://www.openstreetmap.org/?mlat=59.2351818&mlon=18.722081#map=18/59.2351818/18.722081,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2351818,18.722081););out center;"
12344724,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,0.0197344875788555,59.2337582,18.7205015,https://www.openstreetmap.org/?mlat=59.2337582&mlon=18.7205015#map=18/59.2337582/18.7205015,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2337582,18.7205015););out center;"
12344723,<= 20 meter,30607492,Munkö sagostig,,,Vandringsled,Barmarksled,,,Munkö (2002636),2002636,1594,8.8139528958351,59.2333958,18.7200752,https://www.openstreetmap.org/?mlat=59.2333958&mlon=18.7200752#map=18/59.2333958/18.7200752,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.2333958,18.7200752););out center;"
