OBJECTID,ANORDNING_ID,ANORDNINGNAMN,TYP,UNDERTYP,BESKRIVNING,NP,GEOMETRIKVALITET,SKYDDSTYP_KOD,SKYDDATOMRADE,SKYDDATOMRADE_ID,STATLIGLED,STATLIGLED_ID,metadata_json,longitude_wgs84,latitude_wgs84,geometry_type,length_m,area_m2,osm_link,osm_link_source,wikidata_id,wikidata_link,dataset
33779264,30590531,,Information,Områdesskyddsinformation,,0,<= 20 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33779264, ""ANORDNING_ID"": ""30590531"", ""ANORDNINGNAMN"": null, ""TYP"": ""Information"", ""UNDERTYP"": ""Områdesskyddsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.526763204220156,63.047497618066465,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0474976&mlon=16.5267632#map=18/63.0474976/16.5267632,coordinate_fallback,,,anordningar
33785847,30590523,Temaskylt,Information,Platsinformation,,0,<= 20 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33785847, ""ANORDNING_ID"": ""30590523"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.52703526865668,63.0473712066725,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0473712&mlon=16.5270353#map=18/63.0473712/16.5270353,coordinate_fallback,,,anordningar
33777751,30590521,Temaskylt,Information,Platsinformation,,0,<= 20 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33777751, ""ANORDNING_ID"": ""30590521"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": ""<= 20 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.526081083127295,63.04708307435021,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0470831&mlon=16.5260811#map=18/63.0470831/16.5260811,coordinate_fallback,,,anordningar
33785908,30590512,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33785908, ""ANORDNING_ID"": ""30590512"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.52056681601345,63.04765655003023,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0476566&mlon=16.5205668#map=18/63.0476566/16.5205668,coordinate_fallback,,,anordningar
33780142,30590508,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33780142, ""ANORDNING_ID"": ""30590508"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.5199941819259,63.047820249253085,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0478202&mlon=16.5199942#map=18/63.0478202/16.5199942,coordinate_fallback,,,anordningar
33782945,30590502,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33782945, ""ANORDNING_ID"": ""30590502"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.518857648077844,63.04811223194999,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0481122&mlon=16.5188576#map=18/63.0481122/16.5188576,coordinate_fallback,,,anordningar
33780141,30590500,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33780141, ""ANORDNING_ID"": ""30590500"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.514820864149055,63.050067382607125,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0500674&mlon=16.5148209#map=18/63.0500674/16.5148209,coordinate_fallback,,,anordningar
33780656,30590497,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33780656, ""ANORDNING_ID"": ""30590497"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.514555009172902,63.050556441631755,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0505564&mlon=16.5145550#map=18/63.0505564/16.5145550,coordinate_fallback,,,anordningar
33780655,30590487,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33780655, ""ANORDNING_ID"": ""30590487"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.514161869466196,63.050963029781975,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0509630&mlon=16.5141619#map=18/63.0509630/16.5141619,coordinate_fallback,,,anordningar
33782774,30590486,Temaskylt,Information,Platsinformation,,0,>20-50 meter,NR,Döda fallet (2000902),2000902,,,"{""OBJECTID"": 33782774, ""ANORDNING_ID"": ""30590486"", ""ANORDNINGNAMN"": ""Temaskylt"", ""TYP"": ""Information"", ""UNDERTYP"": ""Platsinformation"", ""BESKRIVNING"": null, ""NP"": 0, ""GEOMETRIKVALITET"": "">20-50 meter"", ""SKYDDSTYP_KOD"": ""NR"", ""SKYDDATOMRADE"": ""Döda fallet (2000902)"", ""SKYDDATOMRADE_ID"": ""2000902"", ""STATLIGLED"": null, ""STATLIGLED_ID"": null}",16.514161869466196,63.050963029781975,Point,0.0,0.0,https://www.openstreetmap.org/?mlat=63.0509630&mlon=16.5141619#map=18/63.0509630/16.5141619,coordinate_fallback,,,anordningar
