NVRID,NAMN,DATA_FRILUFTSLIV_PUBLICERAT,metadata_json,longitude_wgs84,latitude_wgs84,geometry_type,length_m,area_m2,osm_link,osm_link_source,wikidata_id,wikidata_link,dataset
2001139,Vidinge,Nej,"{""NVRID"": ""2001139"", ""NAMN"": ""Vidinge"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",19.194874791134247,59.66632671722368,MultiPolygon,8908.445616844674,387157.19674973784,https://www.openstreetmap.org/?mlat=59.6663267&mlon=19.1948748#map=18/59.6663267/19.1948748,coordinate_fallback,,,publiceringsstatus
2002057,Bröttjärnaån,Nej,"{""NVRID"": ""2002057"", ""NAMN"": ""Bröttjärnaån"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",15.00365734947448,60.516848558195896,MultiPolygon,3706.1148950316256,124508.36060997387,https://www.openstreetmap.org/?mlat=60.5168486&mlon=15.0036573#map=18/60.5168486/15.0036573,coordinate_fallback,,,publiceringsstatus
2012014,En,Nej,"{""NVRID"": ""2012014"", ""NAMN"": ""En"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",16.02838309672521,56.50623493448062,Polygon,3.140344323428219,0.7841428404036533,https://www.openstreetmap.org/?mlat=56.5062349&mlon=16.0283831#map=18/56.5062349/16.0283831,coordinate_fallback,,,publiceringsstatus
2003287,Lilla Hammartorp,Nej,"{""NVRID"": ""2003287"", ""NAMN"": ""Lilla Hammartorp"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",18.133772787334856,59.227322046304465,Polygon,3.1403443215885485,0.7841428394835998,https://www.openstreetmap.org/?mlat=59.2273220&mlon=18.1337728#map=18/59.2273220/18.1337728,coordinate_fallback,,,publiceringsstatus
2066283,Ek Skår 751:93 (gränsek),Nej,"{""NVRID"": ""2066283"", ""NAMN"": ""Ek Skår 751:93 (gränsek)"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",12.002240138000602,57.69312204781763,Polygon,108.32224129932467,731.5660269558903,https://www.openstreetmap.org/?mlat=57.6931220&mlon=12.0022401#map=18/57.6931220/12.0022401,coordinate_fallback,,,publiceringsstatus
2011949,Ek,Nej,"{""NVRID"": ""2011949"", ""NAMN"": ""Ek"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",16.419934169985165,57.77437330786139,Polygon,3.140344322973367,0.7841428401805087,https://www.openstreetmap.org/?mlat=57.7743733&mlon=16.4199342#map=18/57.7743733/16.4199342,coordinate_fallback,,,publiceringsstatus
2005497,Gökhults groddammar,Nej,"{""NVRID"": ""2005497"", ""NAMN"": ""Gökhults groddammar"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",14.864691427508493,59.18467641033432,Polygon,526.7862891221943,15281.029615491143,https://www.openstreetmap.org/?mlat=59.1846764&mlon=14.8646914#map=18/59.1846764/14.8646914,coordinate_fallback,,,publiceringsstatus
2054985,Torstorpeskogen,Ja,"{""NVRID"": ""2054985"", ""NAMN"": ""Torstorpeskogen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",15.715709457983241,58.69403150858758,Polygon,5198.323630704773,616638.4446211172,https://www.openstreetmap.org/?mlat=58.6940315&mlon=15.7157095#map=18/58.6940315/15.7157095,coordinate_fallback,,,publiceringsstatus
2041378,Måkeskären i Foxen,Nej,"{""NVRID"": ""2041378"", ""NAMN"": ""Måkeskären i Foxen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",11.877851010453574,59.376635445699456,Polygon,1063.197396016822,82300.14554551573,https://www.openstreetmap.org/?mlat=59.3766354&mlon=11.8778510#map=18/59.3766354/11.8778510,coordinate_fallback,,,publiceringsstatus
2000273,Tjugestaåsen,Ja,"{""NVRID"": ""2000273"", ""NAMN"": ""Tjugestaåsen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",14.914498901471053,59.118288650350124,Polygon,1137.2542966345447,39637.816310423616,https://www.openstreetmap.org/?mlat=59.1182887&mlon=14.9144989#map=18/59.1182887/14.9144989,coordinate_fallback,,,publiceringsstatus
2200008,Kullflon,Ja,"{""NVRID"": ""2200008"", ""NAMN"": ""Kullflon"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",14.923795115459876,63.97953519496896,Polygon,45697.42557486701,41822076.21715592,https://www.openstreetmap.org/?mlat=63.9795352&mlon=14.9237951#map=18/63.9795352/14.9237951,coordinate_fallback,,,publiceringsstatus
2003028,Svartskylle,Ja,"{""NVRID"": ""2003028"", ""NAMN"": ""Svartskylle"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",13.793160814396163,55.530238806530484,Polygon,4563.814981230291,802611.0342526647,https://www.openstreetmap.org/?mlat=55.5302388&mlon=13.7931608#map=18/55.5302388/13.7931608,coordinate_fallback,,,publiceringsstatus
2000903,Marntallåsen,Ja,"{""NVRID"": ""2000903"", ""NAMN"": ""Marntallåsen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",13.98021017595359,62.930948217639774,Polygon,32965.2683886462,40583985.004356734,https://www.openstreetmap.org/?mlat=62.9309482&mlon=13.9802102#map=18/62.9309482/13.9802102,coordinate_fallback,,,publiceringsstatus
2025501,Klåvskär,Nej,"{""NVRID"": ""2025501"", ""NAMN"": ""Klåvskär"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",11.203107580644254,58.41757230732451,Polygon,926.997203979515,63069.3670320121,https://www.openstreetmap.org/?mlat=58.4175723&mlon=11.2031076#map=18/58.4175723/11.2031076,coordinate_fallback,,,publiceringsstatus
2000841,Oxnäset,Nej,"{""NVRID"": ""2000841"", ""NAMN"": ""Oxnäset"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",18.99001339288556,59.77165461394848,Polygon,1259.4522195457014,77690.50866780148,https://www.openstreetmap.org/?mlat=59.7716546&mlon=18.9900134#map=18/59.7716546/18.9900134,coordinate_fallback,,,publiceringsstatus
2000185,Vissbodamon,Ja,"{""NVRID"": ""2000185"", ""NAMN"": ""Vissbodamon"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",15.039760568508365,59.008550070131385,Polygon,1588.425454906626,121988.92355506099,https://www.openstreetmap.org/?mlat=59.0085501&mlon=15.0397606#map=18/59.0085501/15.0397606,coordinate_fallback,,,publiceringsstatus
2000133,Hällholmen,Ja,"{""NVRID"": ""2000133"", ""NAMN"": ""Hällholmen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",18.44517519640554,57.72651954358507,Polygon,1142.7394312378638,57812.21894048135,https://www.openstreetmap.org/?mlat=57.7265195&mlon=18.4451752#map=18/57.7265195/18.4451752,coordinate_fallback,,,publiceringsstatus
2001242,Luobbalheden,Nej,"{""NVRID"": ""2001242"", ""NAMN"": ""Luobbalheden"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",19.87598097532017,65.41561175124434,Polygon,4160.047439968165,789863.3405124899,https://www.openstreetmap.org/?mlat=65.4156118&mlon=19.8759810#map=18/65.4156118/19.8759810,coordinate_fallback,,,publiceringsstatus
2058865,Askeberget,Nej,"{""NVRID"": ""2058865"", ""NAMN"": ""Askeberget"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",17.694682682902396,65.97586611591554,Polygon,14034.854055574364,2722662.332689534,https://www.openstreetmap.org/?mlat=65.9758661&mlon=17.6946827#map=18/65.9758661/17.6946827,coordinate_fallback,,,publiceringsstatus
2012104,Idegran,Nej,"{""NVRID"": ""2012104"", ""NAMN"": ""Idegran"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",16.35262668627716,57.445389201360186,Polygon,3.1403443233153068,0.7841428403445144,https://www.openstreetmap.org/?mlat=57.4453892&mlon=16.3526267#map=18/57.4453892/16.3526267,coordinate_fallback,,,publiceringsstatus
2000349,"Nolgården, Näs",Ja,"{""NVRID"": ""2000349"", ""NAMN"": ""Nolgården, Näs"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",13.699662430170383,58.08726264237562,MultiPolygon,8125.617162409026,307067.0455131511,https://www.openstreetmap.org/?mlat=58.0872626&mlon=13.6996624#map=18/58.0872626/13.6996624,coordinate_fallback,,,publiceringsstatus
2002302,Fäviksgrundet,Nej,"{""NVRID"": ""2002302"", ""NAMN"": ""Fäviksgrundet"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",18.668015139974237,59.58626368056492,Polygon,318.32076424978607,6313.534101501505,https://www.openstreetmap.org/?mlat=59.5862637&mlon=18.6680151#map=18/59.5862637/18.6680151,coordinate_fallback,,,publiceringsstatus
2023109,Rödhällhäden,Nej,"{""NVRID"": ""2023109"", ""NAMN"": ""Rödhällhäden"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",13.453594799325929,61.49093655164535,Polygon,2619.7098512467633,230889.35555690218,https://www.openstreetmap.org/?mlat=61.4909366&mlon=13.4535948#map=18/61.4909366/13.4535948,coordinate_fallback,,,publiceringsstatus
2001880,Bålbergsudden,Ja,"{""NVRID"": ""2001880"", ""NAMN"": ""Bålbergsudden"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",16.862256577796337,59.04247065633443,Polygon,711.4423205728987,29968.461124988422,https://www.openstreetmap.org/?mlat=59.0424707&mlon=16.8622566#map=18/59.0424707/16.8622566,coordinate_fallback,,,publiceringsstatus
2012392,"Två bokar (numera en), Broby 4:79",Nej,"{""NVRID"": ""2012392"", ""NAMN"": ""Två bokar (numera en), Broby 4:79"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",14.062692526545352,56.25230434836597,Polygon,3.1403443216361855,0.7841428395051893,https://www.openstreetmap.org/?mlat=56.2523043&mlon=14.0626925#map=18/56.2523043/14.0626925,coordinate_fallback,,,publiceringsstatus
2029590,Långmon,Ja,"{""NVRID"": ""2029590"", ""NAMN"": ""Långmon"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",17.027650916071416,63.68137870188893,Polygon,3783.331249548927,473119.12662384275,https://www.openstreetmap.org/?mlat=63.6813787&mlon=17.0276509#map=18/63.6813787/17.0276509,coordinate_fallback,,,publiceringsstatus
2044872,Björnberget-Gäddtjärnen,Ja,"{""NVRID"": ""2044872"", ""NAMN"": ""Björnberget-Gäddtjärnen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",18.806694187194346,63.90999470897855,Polygon,8241.744908678487,2474270.2165769655,https://www.openstreetmap.org/?mlat=63.9099947&mlon=18.8066942#map=18/63.9099947/18.8066942,coordinate_fallback,,,publiceringsstatus
2040278,Alhagen Mariestad,Nej,"{""NVRID"": ""2040278"", ""NAMN"": ""Alhagen Mariestad"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",13.813571759556503,58.706673536920704,Polygon,3.140344323357728,0.7841428403714007,https://www.openstreetmap.org/?mlat=58.7066735&mlon=13.8135718#map=18/58.7066735/13.8135718,coordinate_fallback,,,publiceringsstatus
2014298,Långsjöskogen,Ja,"{""NVRID"": ""2014298"", ""NAMN"": ""Långsjöskogen"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",15.504799478277052,60.41898996262203,Polygon,3153.5170072278383,370629.62944118533,https://www.openstreetmap.org/?mlat=60.4189900&mlon=15.5047995#map=18/60.4189900/15.5047995,coordinate_fallback,,,publiceringsstatus
2044290,Flötö,Ja,"{""NVRID"": ""2044290"", ""NAMN"": ""Flötö"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",14.382634269921823,56.089240122535,Polygon,5191.137682809404,1177070.697598224,https://www.openstreetmap.org/?mlat=56.0892401&mlon=14.3826343#map=18/56.0892401/14.3826343,coordinate_fallback,,,publiceringsstatus
2026130,Högstugans äng,Nej,"{""NVRID"": ""2026130"", ""NAMN"": ""Högstugans äng"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",15.331452341276359,57.971185191463384,Polygon,408.65007753946117,8365.518079514932,https://www.openstreetmap.org/?mlat=57.9711852&mlon=15.3314523#map=18/57.9711852/15.3314523,coordinate_fallback,,,publiceringsstatus
2048978,Södra Fläcksjön,Ja,"{""NVRID"": ""2048978"", ""NAMN"": ""Södra Fläcksjön"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Ja""}",16.326454781620573,59.85725254320799,Polygon,16528.099880417773,2479486.4283725102,https://www.openstreetmap.org/?mlat=59.8572525&mlon=16.3264548#map=18/59.8572525/16.3264548,coordinate_fallback,,,publiceringsstatus
2000023,Malingsbo-Kloten,Nej,"{""NVRID"": ""2000023"", ""NAMN"": ""Malingsbo-Kloten"", ""DATA_FRILUFTSLIV_PUBLICERAT"": ""Nej""}",15.27367977843179,59.899025625235915,Polygon,81373.28066948593,141571579.6192235,https://www.openstreetmap.org/?mlat=59.8990256&mlon=15.2736798#map=18/59.8990256/15.2736798,coordinate_fallback,,,publiceringsstatus
