NVRID,NAMN,DATA_FRILUFTSLIV_PUBLICERAT,latitude_wgs84,longitude_wgs84,osm_link,osm_nearby_link
2000153,Åvinge,Nej,59.1307942,17.8196517,https://www.openstreetmap.org/?mlat=59.1307942&mlon=17.8196517#map=18/59.1307942/17.8196517,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.1307942,17.8196517););out center;"
2002572,Piparböle,Nej,63.9036919,20.1554358,https://www.openstreetmap.org/?mlat=63.9036919&mlon=20.1554358#map=18/63.9036919/20.1554358,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.9036919,20.1554358););out center;"
2043486,Hyllesbolsö,Nej,56.5752252,14.9269925,https://www.openstreetmap.org/?mlat=56.5752252&mlon=14.9269925#map=18/56.5752252/14.9269925,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.5752252,14.9269925););out center;"
2058635,Björkskär,Ja,58.7343848,17.5061631,https://www.openstreetmap.org/?mlat=58.7343848&mlon=17.5061631#map=18/58.7343848/17.5061631,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.7343848,17.5061631););out center;"
2025824,Röskär,Nej,58.8514737,13.7879826,https://www.openstreetmap.org/?mlat=58.8514737&mlon=13.7879826#map=18/58.8514737/13.7879826,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.8514737,13.7879826););out center;"
2001791,Tjöstelsrödsområdet,Nej,58.2208117,11.9489521,https://www.openstreetmap.org/?mlat=58.2208117&mlon=11.9489521#map=18/58.2208117/11.9489521,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.2208117,11.9489521););out center;"
2000504,Trefaldighetsdalen,Ja,63.1650549,17.3260567,https://www.openstreetmap.org/?mlat=63.1650549&mlon=17.3260567#map=18/63.1650549/17.3260567,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.1650549,17.3260567););out center;"
2001058,Ultevis fjällurskog,Nej,67.1356673,19.1386146,https://www.openstreetmap.org/?mlat=67.1356673&mlon=19.1386146#map=18/67.1356673/19.1386146,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,67.1356673,19.1386146););out center;"
2040273,Vedum,Nej,58.1480549,13.0658451,https://www.openstreetmap.org/?mlat=58.1480549&mlon=13.0658451#map=18/58.1480549/13.0658451,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.1480549,13.0658451););out center;"
2000819,"Vistorp, Strängegården",Nej,58.0245446,13.7106031,https://www.openstreetmap.org/?mlat=58.0245446&mlon=13.7106031#map=18/58.0245446/13.7106031,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.0245446,13.7106031););out center;"
2044154,Mjösjöberget,Ja,63.795075,18.9111248,https://www.openstreetmap.org/?mlat=63.795075&mlon=18.9111248#map=18/63.795075/18.9111248,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,63.795075,18.9111248););out center;"
2043738,Ålandet,Nej,59.6915206,18.9897855,https://www.openstreetmap.org/?mlat=59.6915206&mlon=18.9897855#map=18/59.6915206/18.9897855,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,59.6915206,18.9897855););out center;"
2000933,Hamra,Ja,61.756683,14.8024445,https://www.openstreetmap.org/?mlat=61.756683&mlon=14.8024445#map=18/61.756683/14.8024445,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,61.756683,14.8024445););out center;"
2048440,Malkvarn,Nej,56.0275316,14.869658,https://www.openstreetmap.org/?mlat=56.0275316&mlon=14.869658#map=18/56.0275316/14.869658,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.0275316,14.869658););out center;"
2002345,Skilsnäs,Ja,57.0431286,14.0950499,https://www.openstreetmap.org/?mlat=57.0431286&mlon=14.0950499#map=18/57.0431286/14.0950499,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.0431286,14.0950499););out center;"
2002679,Toresbo,Ja,56.6892596,15.7979241,https://www.openstreetmap.org/?mlat=56.6892596&mlon=15.7979241#map=18/56.6892596/15.7979241,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.6892596,15.7979241););out center;"
2023229,Knutstorp,Nej,56.5391363,13.388422,https://www.openstreetmap.org/?mlat=56.5391363&mlon=13.388422#map=18/56.5391363/13.388422,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.5391363,13.388422););out center;"
2024529,T-udden,Nej,60.6756435,17.1953098,https://www.openstreetmap.org/?mlat=60.6756435&mlon=17.1953098#map=18/60.6756435/17.1953098,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.6756435,17.1953098););out center;"
2001086,Svarvareskogen,Ja,56.4644351,12.9327899,https://www.openstreetmap.org/?mlat=56.4644351&mlon=12.9327899#map=18/56.4644351/12.9327899,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.4644351,12.9327899););out center;"
2014637,Såckosberget,Nej,66.1589567,20.5958419,https://www.openstreetmap.org/?mlat=66.1589567&mlon=20.5958419#map=18/66.1589567/20.5958419,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,66.1589567,20.5958419););out center;"
2059141,Mörrumsåns nedre dalgång,Ja,56.2239948,14.7629631,https://www.openstreetmap.org/?mlat=56.2239948&mlon=14.7629631#map=18/56.2239948/14.7629631,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,56.2239948,14.7629631););out center;"
2004332,2004108 (W-id) En tall,Nej,60.5916344,15.7600577,https://www.openstreetmap.org/?mlat=60.5916344&mlon=15.7600577#map=18/60.5916344/15.7600577,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,60.5916344,15.7600577););out center;"
2003521,Näsby komministerboställe,Nej,57.4352273,15.0071514,https://www.openstreetmap.org/?mlat=57.4352273&mlon=15.0071514#map=18/57.4352273/15.0071514,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,57.4352273,15.0071514););out center;"
2056242,Amundsrud,Nej,58.7926399,12.4010563,https://www.openstreetmap.org/?mlat=58.7926399&mlon=12.4010563#map=18/58.7926399/12.4010563,"https://overpass-turbo.eu/?Q=[out:json];(nwr(around:50,58.7926399,12.4010563););out center;"
