id,osm_type,lat,lon,label,island,distance_m,toilets_num,image_url,missing_tags,wikimedia_commons_title,wikimedia_commons_url,mapillary_links,access,opening_hours,fee,wheelchair,toilets:num_chambers,unisex,drinking_water,changing_table,toilets:paper_supplied,indoor,operator,website,source,wikidata,wikimedia_commons,image,mapillary,toilets:handwashing,toilets:position
2225378750,node,59.04984830000001,18.5199205,SAT Fjärdlång,Fjärdlång,10.2,2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg/1024px-SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg,"toilets:num_chambers, drinking_water, indoor, website, source",Category:Fjärdlång_public_toilets,https://commons.wikimedia.org/wiki/Category:Fj%C3%A4rdl%C3%A5ng_public_toilets,[],yes,24/7,no,no,,yes,,no,yes,,Skärgårdsstiftelsen,,,,Category:Fjärdlång_public_toilets,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg/1024px-SAT_Fj%C3%A4rdl%C3%A5ng_2025_april_toalett_%282%29.jpg,,no,
2285332792,node,59.40622339999999,18.575361999999995,SAT Grinda,Grinda,10.8,1,https://upload.wikimedia.org/wikipedia/commons/4/45/Grinda_2023_Klubbudden.jpg,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/45/Grinda_2023_Klubbudden.jpg,,,
2285332799,node,59.4172161,18.557592800000002,SAT Grinda,Grinda,2.6,1,,"access, opening_hours, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,no,limited,,,,,,,,,,,,,,,
2451364941,node,58.9611425,18.339586699999998,SAT Utö,Utö,34.5,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
2495934893,node,59.28790990000001,18.9170226,SAT Sandhamn,Sandön,7.8,1,,"access, opening_hours, toilets:num_chambers, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,no,yes,,yes,,,,,,,,,,,,yes,
2550378583,node,59.0306645,18.5116261,SAT Fjärdlång,Fjärdlång,18.9,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, website, source",,,[],,,,,,,,,,,Skärgårdsstiftelsen,,,,,,,,
2550378600,node,59.031991500000004,18.519927800000005,SAT Fjärdlång,Fjärdlång,11.5,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, website, source",,,[],,,,,,,,,,,Skärgårdsstiftelsen,,,,,,,,
2550380413,node,59.047048100000005,18.522849000000004,SAT Fjärdlång,Fjärdlång,39.1,1,,"wheelchair, toilets:num_chambers, drinking_water, toilets:paper_supplied, indoor, website, source",,,[],yes,24/7,no,,,yes,,no,,,Skärgårdsstiftelsen,,,,,,,no,
2908785465,node,59.480579899999995,18.804356,SAT Finnhamn,Finnhamn,14.9,1,,"access, opening_hours, toilets:num_chambers, unisex, drinking_water, toilets:paper_supplied, indoor, operator, website, source",,,[],,,no,no,,,,no,,,,,,,,,,no,
2908787775,node,59.48378289999997,18.813885199999998,SAT Finnhamn,Finnhamn,10.5,1,,"access, opening_hours, fee, wheelchair, toilets:num_chambers, unisex, drinking_water, changing_table, toilets:paper_supplied, indoor, operator, website, source",,,[],,,,,,,,,,,,,,,,,,,
