tags,id,osm_type,toilets_num,distance_m
"{'amenity': 'toilets', 'check_date': '2021-08-13', 'fee': 'no', 'wheelchair': 'limited'}",2285332799,node,1,2.620112945381349
{'amenity': 'toilets'},2451364941,node,1,34.53559700252441
"{'amenity': 'toilets', 'check_date': '2023-02-13', 'description': 'ligger mellan bryggan och seglarhotellet', 'fee': 'no', 'hot_water': 'yes', 'seamark:small_craft_facility:category': 'toilets', 'seamark:type': 'small_craft_facility', 'toilets:handwashing': 'yes', 'unisex': 'yes', 'wheelchair': 'yes'}",2495934893,node,1,7.781563176814174
"{'amenity': 'toilets', 'operator': 'Skärgårdsstiftelsen'}",2550378583,node,1,18.94122220445462
"{'amenity': 'toilets', 'operator': 'Skärgårdsstiftelsen'}",2550378600,node,1,11.487901346196786
"{'access': 'yes', 'amenity': 'toilets', 'changing_table': 'no', 'fee': 'no', 'opening_hours': '24/7', 'operator': 'Skärgårdsstiftelsen', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'unisex': 'yes', 'water': 'no'}",2550380413,node,1,39.137831904664985
"{'amenity': 'toilets', 'changing_table': 'no', 'check_date': '2025-08-11', 'fee': 'no', 'toilets:handwashing': 'no', 'wheelchair': 'no'}",2908785465,node,1,14.888656630861423
{'amenity': 'toilets'},2908787775,node,1,10.456688514050075
"{'amenity': 'toilets', 'check_date': '2025-04-19', 'fee': 'no', 'image': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/SAT_Finnhamn_Idholmen_toalett_stugbyn.jpg/960px-SAT_Finnhamn_Idholmen_toalett_stugbyn.jpg', 'image:license': 'CC-0', 'operator': 'Skärgårdsstiftelsen', 'operator:wikidata': 'Q10670989', 'toilets:access': 'public', 'toilets:disposal': 'pitlatrine', 'toilets:handwashing': 'no', 'toilets:number': '2', 'toilets:wheelchair': 'no', 'unisex': 'yes', 'wheelchair': 'no'}",2908787815,node,2,7.272718325539659
"{'amenity': 'toilets', 'fee': 'no', 'wheelchair': 'no'}",2908787816,node,1,2.16748311780919
"{'access': 'customers', 'amenity': 'toilets', 'drinking_water': 'yes', 'fee': 'yes', 'toilets:handwashing': 'yes', 'toilets:position': 'seated', 'wheelchair': 'yes'}",2942213743,node,1,12.560390047096298
"{'amenity': 'toilets', 'toilets:disposal': 'pitlatrine', 'type': 'hole in the ground ventilated'}",2943477509,node,1,5.011637210575959
